,mean_total_neurons,mean_zero_fraction,mean_zero_count,mean_dormant_fraction,mean_dormant_count,std_total_neurons,std_zero_fraction,std_zero_count,std_dormant_fraction,std_dormant_count
convnext_base,21370.0,0.03947964446619153,843.68,0.1325722984224558,2833.07,0.0,0.0027803291012143587,59.41563430613191,0.0075392210045355625,161.11314378411217
convnext_base.fb_in22k,21370.0,0.030600842479616405,653.94,0.11982639230787755,2560.69,0.0,0.002864315791896494,61.21042721628398,0.008172322247914386,174.64253176130953
robust_convnext_base,21370.0,0.04560177803039551,974.51,0.16263968147337438,3475.61,0.0,0.020480578000842308,437.6699554458816,0.04339087028309527,927.2629065696524
convnext_tiny,8962.0,0.02859741132706404,256.29,0.09316000871360303,834.9,0.0,0.00318227748615675,28.519570473623897,0.00796796364043478,71.40889300360284
convnext_tiny.fb_in22k,8962.0,0.05150412850081921,461.58,0.13392657853662968,1200.25,0.0,0.0025873695771967617,23.188005520095945,0.00841247768880081,75.39262231810218
robust_convnext_tiny,8962.0,0.07614594973623752,682.42,0.16538161143660546,1482.15,0.0,0.005683648496314043,50.936858953021435,0.012303623371615623,110.26507833398568
robust_wideresnet_28_10,10196.0,0.0021949784224852917,22.38,0.028025696408003568,285.75,0.0,0.00034890849881790765,3.5574710118284867,0.0026595647198291816,27.11692276051986
deit_small_patch16_224.fb_in1k,8171368.0,0.6891016864776611,5630903.49,0.6998528689146042,5718755.35,0.0,0.0017699912628695571,14463.248013150436,0.0020118878523825274,16439.878584937906
robust_deit_small_patch16_224,8171368.0,0.6836604368686676,5586441.01,0.6964672249555588,5691089.99,0.0,0.0025837009489918417,21112.37618767485,0.002737668271019123,22370.490181261117
vit_base_patch16_224.augreg_in1k,16341736.0,0.6887937086820602,11256084.95,0.6993733215332031,11428974.15,0.0,0.0017122195957927325,27980.58798323402,0.0019411144645734536,31721.18732215899
vit_base_patch16_224.augreg_in21k,16362579.0,0.6961752915382385,11391223.22,0.7077830302715301,11581155.74,0.0,0.0015834034252679915,25908.588355439206,0.001966276817402249,32173.33456439354
robust_vit_base_patch16_224,16341736.0,0.6873178738355636,11231967.27,0.7004386484622955,11446383.45,0.0,0.004932741854677299,80609.58760170592,0.0049637576327260175,81116.36448009429
