dataset,backbone,ft_type,loss_function,seed,epochs,lr1,lr2,weight_decay1,weight_decay2,scheduler,use_rs,epsilon,step_size,perturb_steps,distance,beta,project_name,exp_id,statedicts_path,trained_statedicts_path,datasets_path,configs_path,results_path,hpo_path,arch_type
uc-merced-land-use-dataset,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,TRADES_v2,1.0,50.0,0.00022637689662222718,0.001246190805485586,0.0010460822384971702,7.16854697686896e-05,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_uc-merced-land-use-dataset_TRADES_v2,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
stanford_cars,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,TRADES_v2,1.0,50.0,0.0001793480721178975,0.005878824056644075,0.0032029975700290426,0.00378814552109712,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_stanford_cars_TRADES_v2,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
caltech101,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,TRADES_v2,1.0,50.0,0.0001793480721178975,0.005878824056644075,0.0032029975700290426,0.00378814552109712,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_caltech101_TRADES_v2,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
fgvc-aircraft-2013b,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,TRADES_v2,1.0,50.0,0.0001793480721178975,0.005878824056644075,0.0032029975700290426,0.00378814552109712,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_fgvc-aircraft-2013b_TRADES_v2,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
flowers-102,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,TRADES_v2,1.0,50.0,0.00011186451269342267,0.010015892466752692,6.728237446164208e-05,1.6893426773335825e-06,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_flowers-102_TRADES_v2,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
oxford-iiit-pet,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,TRADES_v2,1.0,50.0,0.00012365164457104434,1.7257298262927544e-05,0.00048096354537337677,0.0002356470857433856,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_oxford-iiit-pet_TRADES_v2,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
uc-merced-land-use-dataset,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,CLASSIC_AT,1.0,50.0,0.00030738911648555827,0.000263773794245883,1.7006667818377532e-06,0.00033619132859648293,False,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_uc-merced-land-use-dataset_CLASSIC_AT,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
stanford_cars,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,CLASSIC_AT,1.0,50.0,3.05755179664374e-05,1.5073271237666678e-05,2.6913892686855095e-06,7.995347689531275e-06,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_stanford_cars_CLASSIC_AT,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
caltech101,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,CLASSIC_AT,1.0,50.0,0.000385765077377004,0.0003561582138458752,0.00047751184301655973,0.0055227614309091245,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_caltech101_CLASSIC_AT,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
fgvc-aircraft-2013b,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,full_fine_tuning,CLASSIC_AT,1.0,50.0,0.00012365164457104434,1.7257298262927544e-05,0.00048096354537337677,0.0002356470857433856,True,False,0.015686275,0.007843137,10.0,Linf,1.0,full_fine_tuning_50epochs_final3,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K_fgvc-aircraft-2013b_CLASSIC_AT,~/scratch/state_dicts_share/,~/scratch/trained_state_dicts/,$SLURM_TMPDIR/data,./configs,./results,~/scratch/hpo_results/,convnext_base
