,mean_total_neurons,mean_zero_fraction,mean_zero_count,mean_dormant_fraction,mean_dormant_count,mean_overactive_fraction,mean_overactive_count,std_total_neurons,std_zero_fraction,std_zero_count,std_dormant_fraction,std_dormant_count,std_overactive_fraction,std_overactive_count
convnext_base,21280.0,0.036011278182268146,766.32,0.13409398503601552,2853.52,0.05095300741493702,1084.28,0.0,0.0046124065733678336,98.15201271497186,0.011446242472055803,243.57604479915506,0.0026351938938786726,56.07692573599234
convnext_base.fb_in22k,21280.0,0.031231203023344277,664.6,0.12702161684632302,2703.02,0.0497866540402174,1059.46,0.0,0.004259665467990953,90.64568384650204,0.011726189831331411,249.53332362632452,0.0027254538452996598,57.99765857342864
robust_convnext_base,21280.0,0.0488157894462347,1038.8,0.17079605214297772,3634.54,0.055088815800845625,1172.29,0.0,0.029889529467225506,636.0491962104818,0.055937704634403826,1190.3543709332948,0.009464634119788928,201.40741272356388
convnext_tiny,8872.0,0.02837578896433115,251.75,0.09677524760365486,858.59,0.041842876374721526,371.23,0.0,0.004236204651304499,37.58360679870946,0.009926567467587603,88.06850685687819,0.002119796708257919,18.806836522924318
convnext_tiny.fb_in22k,8872.0,0.04909152377396822,435.54,0.14084535531699657,1249.58,0.051424706876277926,456.24,0.0,0.004843940611429435,42.97543949746181,0.010920986188020095,96.89098822904016,0.0023062714170075894,20.461241409064115
robust_convnext_tiny,8872.0,0.11708408460021019,1038.77,0.22802186638116836,2023.01,0.049702434688806536,440.96,0.0,0.015021662768289399,133.2721917730777,0.022982986032033487,203.90505118804683,0.002286565683894596,20.286409243629095
robust_wideresnet_28_10,10106.0,0.0031367504538502545,31.7,0.0320057388022542,323.45,0.016715812236070632,168.93,0.0,0.0006629725096142655,6.7,0.0026251108788898376,26.529370516467214,0.0012813506427681324,12.94932816790122
deit_small_patch16_224.fb_in1k,8170378.0,0.6877464312314987,5619148.32,0.6984802585840225,5706847.73,0.08860229328274727,723914.23,0.0,0.0011644572798527044,9514.074414129836,0.00129076542338816,10546.018658105057,0.0008386856783200809,6852.377054504517
robust_deit_small_patch16_224,8170378.0,0.6859458827972412,5604437.18,0.6989736664295196,5710879.07,0.08679093696177005,709114.76,0.0,0.002762041524896427,22566.92938012613,0.002887905576659713,23595.26671146355,0.001686033392913221,13775.53162394831
vit_base_patch16_224.augreg_in1k,16340746.0,0.6864546990394592,11217181.92,0.696979061961174,11389157.83,0.0906082970649004,1480607.17,0.0,0.0016099303906292343,26307.535625246237,0.0017022234017476203,27815.62433347668,0.0012614411487608126,20612.889583003638
vit_base_patch16_224.augreg_in21k,16340746.0,0.6951783567667007,11359732.98,0.7069381773471832,11551897.19,0.08377570301294326,1368957.48,0.0,0.0010494226861771873,17148.35472631704,0.0012582988366667256,20561.554705661245,0.000822192498591158,13435.241544147988
robust_vit_base_patch16_224,16340746.0,0.687292947769165,11230879.5,0.7006599885225296,11449306.89,0.08386268824338913,1370378.89,0.0,0.005250670373427014,85799.89601176682,0.005227227466721184,85416.78922435507,0.0026886874239351625,43935.16182373635
