,clean_acc,robust_acc,backbone,dataset,loss_function
0,0.3606666666666667,0.004,convnext_tiny,stanford_cars,TRADES_v2
1,0.9466666666666667,0.8073333333333333,convnext_tiny,caltech101,TRADES_v2
2,0.14466666666666667,0.0006666666666666666,convnext_tiny,fgvc-aircraft-2013b,TRADES_v2
3,0.49,0.09083333333333334,convnext_tiny,dtd,TRADES_v2
4,0.8506666666666667,0.16233333333333333,convnext_tiny,flowers-102,TRADES_v2
5,0.852,0.3305,convnext_tiny,oxford-iiit-pet,TRADES_v2
6,0.07466666666666667,0.004666666666666667,convnext_tiny,stanford_cars,CLASSIC_AT
7,0.966,0.8453333333333334,convnext_tiny,caltech101,CLASSIC_AT
8,0.06333333333333334,0.0,convnext_tiny,fgvc-aircraft-2013b,CLASSIC_AT
9,0.508,0.0615,convnext_tiny,dtd,CLASSIC_AT
10,,,convnext_tiny,flowers-102,CLASSIC_AT
11,0.7606666666666667,0.39666666666666667,convnext_tiny,oxford-iiit-pet,CLASSIC_AT
12,0.31266666666666665,0.17333333333333334,robust_convnext_tiny,stanford_cars,TRADES_v2
13,0.9553333333333334,0.8993333333333333,robust_convnext_tiny,caltech101,TRADES_v2
14,0.25466666666666665,0.14866666666666667,robust_convnext_tiny,fgvc-aircraft-2013b,TRADES_v2
15,0.46,0.26066666666666666,robust_convnext_tiny,dtd,TRADES_v2
16,,,robust_convnext_tiny,flowers-102,TRADES_v2
17,0.878,0.6646666666666666,robust_convnext_tiny,oxford-iiit-pet,TRADES_v2
18,0.224,0.13,robust_convnext_tiny,stanford_cars,CLASSIC_AT
19,,,robust_convnext_tiny,caltech101,CLASSIC_AT
20,0.09,0.050666666666666665,robust_convnext_tiny,fgvc-aircraft-2013b,CLASSIC_AT
21,0.51,0.36733333333333335,robust_convnext_tiny,dtd,CLASSIC_AT
22,,,robust_convnext_tiny,flowers-102,CLASSIC_AT
23,0.8606666666666667,0.7146666666666667,robust_convnext_tiny,oxford-iiit-pet,CLASSIC_AT
24,0.544,0.174,convnext_tiny.fb_in22k,stanford_cars,TRADES_v2
25,0.9673333333333334,0.892,convnext_tiny.fb_in22k,caltech101,TRADES_v2
26,0.4146666666666667,0.08333333333333333,convnext_tiny.fb_in22k,fgvc-aircraft-2013b,TRADES_v2
27,0.5946666666666667,0.224,convnext_tiny.fb_in22k,dtd,TRADES_v2
28,0.9333333333333333,0.5513333333333333,convnext_tiny.fb_in22k,flowers-102,TRADES_v2
29,,,convnext_tiny.fb_in22k,oxford-iiit-pet,TRADES_v2
30,0.194,0.004666666666666667,convnext_tiny.fb_in22k,stanford_cars,CLASSIC_AT
31,,,convnext_tiny.fb_in22k,caltech101,CLASSIC_AT
32,0.18533333333333332,0.0033333333333333335,convnext_tiny.fb_in22k,fgvc-aircraft-2013b,CLASSIC_AT
33,0.6471111111111111,0.29688888888888887,convnext_tiny.fb_in22k,dtd,CLASSIC_AT
34,,,convnext_tiny.fb_in22k,flowers-102,CLASSIC_AT
35,,,convnext_tiny.fb_in22k,oxford-iiit-pet,CLASSIC_AT
36,0.374,0.07733333333333334,deit_small_patch16_224.fb_in1k,stanford_cars,TRADES_v2
37,0.9473333333333334,0.8186666666666667,deit_small_patch16_224.fb_in1k,caltech101,TRADES_v2
38,0.11466666666666667,0.015333333333333332,deit_small_patch16_224.fb_in1k,fgvc-aircraft-2013b,TRADES_v2
39,,,deit_small_patch16_224.fb_in1k,dtd,TRADES_v2
40,,,deit_small_patch16_224.fb_in1k,flowers-102,TRADES_v2
41,,,deit_small_patch16_224.fb_in1k,oxford-iiit-pet,TRADES_v2
42,0.15933333333333333,0.023333333333333334,deit_small_patch16_224.fb_in1k,stanford_cars,CLASSIC_AT
43,0.9493333333333334,0.8413333333333334,deit_small_patch16_224.fb_in1k,caltech101,CLASSIC_AT
44,0.076,0.008,deit_small_patch16_224.fb_in1k,fgvc-aircraft-2013b,CLASSIC_AT
45,0.5606666666666666,0.30333333333333334,deit_small_patch16_224.fb_in1k,dtd,CLASSIC_AT
46,0.38133333333333336,0.084,deit_small_patch16_224.fb_in1k,flowers-102,CLASSIC_AT
47,,,deit_small_patch16_224.fb_in1k,oxford-iiit-pet,CLASSIC_AT
48,0.356,0.188,robust_deit_small_patch16_224,stanford_cars,TRADES_v2
49,0.9593333333333334,0.89,robust_deit_small_patch16_224,caltech101,TRADES_v2
50,0.18333333333333332,0.092,robust_deit_small_patch16_224,fgvc-aircraft-2013b,TRADES_v2
51,,,robust_deit_small_patch16_224,dtd,TRADES_v2
52,,,robust_deit_small_patch16_224,flowers-102,TRADES_v2
53,0.8533333333333334,0.6295,robust_deit_small_patch16_224,oxford-iiit-pet,TRADES_v2
54,0.19866666666666666,0.10933333333333334,robust_deit_small_patch16_224,stanford_cars,CLASSIC_AT
55,0.962,0.9046666666666666,robust_deit_small_patch16_224,caltech101,CLASSIC_AT
56,0.13333333333333333,0.08266666666666667,robust_deit_small_patch16_224,fgvc-aircraft-2013b,CLASSIC_AT
57,0.4826666666666667,0.3406666666666667,robust_deit_small_patch16_224,dtd,CLASSIC_AT
58,0.45866666666666667,0.336,robust_deit_small_patch16_224,flowers-102,CLASSIC_AT
59,,,robust_deit_small_patch16_224,oxford-iiit-pet,CLASSIC_AT
60,0.5793333333333334,0.19066666666666668,convnext_base,stanford_cars,TRADES_v2
61,,,convnext_base,caltech101,TRADES_v2
62,0.24933333333333332,0.088,convnext_base,fgvc-aircraft-2013b,TRADES_v2
