,dataset,backbone,loss_function,PairwiseDistance_Mean,PairwiseDistance_Median,PairwiseDistance_25%,PairwiseDistance_75%,PairwiseDistance_Std,std_dev_25%,std_dev_Mean,std_dev_Median,std_dev_75%,std_dev_Std,mean_abs_change_25%,mean_abs_change_Mean,mean_abs_change_Median,mean_abs_change_75%,mean_abs_change_Std
0,stanford_cars,convnext_tiny,TRADES_v2,11.483301380881553,9.44152743388506,5.971233230340676,15.520107634764651,7.92244716032261,0.20111459341281335,3.442046126576029,2.5126276385633113,3.160963656323797,4.085277893735881,0.13604841388639866,1.8904274158211425,1.339559986552254,1.6799341920946465,2.2869723470256687
1,caltech101,convnext_tiny,TRADES_v2,6.770127956483025,5.013427264873798,3.3260807917668274,6.859495192307692,8.623932733951708,1.1083286377980486,2.7265460837962174,2.486870070362702,3.138522691592852,3.294838884772359,0.6574873447418212,1.5236308775541982,1.2420527531550483,1.7781164316030647,1.8379804359163228
2,fgvc-aircraft-2013b,convnext_tiny,TRADES_v2,10.862913560698134,7.918704773786188,3.023755791379051,13.658374137242014,11.099614297794195,2.311815687256091,3.95363576623478,2.439198963793796,3.0365543978815843,4.087368524078497,1.2844830681295956,2.7737412676942377,1.3035855699701755,1.6974855127597914,3.9469400136316226
3,dtd,convnext_tiny,TRADES_v2,4.645785941676354,4.675169500079058,0.07498181931515902,7.742398222720507,3.5381900635549552,2.0939402761835093,2.0979956075946324,2.114404191597191,2.53586577007202,0.7615955612259152,1.168702535426363,1.2298262288775983,1.1754533483626994,1.1872059923537233,0.6531359131780273
4,flowers-102,convnext_tiny,TRADES_v2,5.773938270482465,6.295450081190546,0.7733103506076875,8.416772016472336,4.483295706906624,2.40143912848052,2.538599888198332,2.4281298778511937,2.9218208932816667,1.2062205827048837,1.3424579695159313,1.5712670998278344,1.3552012724034928,1.384616029028799,1.1889937317503292
5,oxford-iiit-pet,convnext_tiny,TRADES_v2,5.607683788969521,4.813378044298202,1.6896476883141662,6.517426644345108,5.1914131508790105,2.0127289945887425,2.5965228204898128,2.0937977726643857,2.4961426906734046,1.6928691554091941,1.1299933834352356,1.776138319664928,1.1640589617300725,1.314277096071105,1.878524688001408
6,stanford_cars,convnext_tiny,CLASSIC_AT,14.76285733597361,10.622015667557688,5.679955254226434,19.995208440061475,13.452525921196273,0.07254711755168532,4.320638838818938,2.4834653944356466,3.4058956998067043,6.117393092501069,0.04444925276959533,2.399512151257188,1.382158423251793,1.903953577260502,3.4233151035043883
7,caltech101,convnext_tiny,CLASSIC_AT,8.756468137625582,6.032753419440668,4.264383601623059,9.842664984946307,9.248969322484559,1.7661624600155634,3.3457857154448227,2.390779544734822,3.60949624158414,3.8328887939341088,1.0318474146036,1.845844458311032,1.2578780541053185,1.9978009150578426,2.146016074076832
8,fgvc-aircraft-2013b,convnext_tiny,CLASSIC_AT,6.917021540038298,5.038968433386866,0.02916381396308454,9.279942685325775,9.054216994566596,2.3020096638895953,2.855770098354745,2.3131970554526773,2.3268708835552108,2.8236121814639525,1.282999137154862,2.0097303507894533,1.292344183767257,1.2973217363117122,3.162593097597817
9,dtd,convnext_tiny,CLASSIC_AT,4.877049624924975,4.65558494458986,0.05933759973404218,7.439046237797263,5.0439493545714384,2.0893612105732107,2.1920004562458852,2.106795529854853,2.534947883262266,1.0355284265689453,1.1662689208984376,1.2979503047813856,1.1721061544215425,1.1810211830950799,1.1440752677909143
