,active_strategy,size,scheduler,learning_rate,final_clean_accuracy_mean,final_PGD_accuracy_mean
0,random,5.0,nosched,0.0001,0.7332000136375427,0.6262999773025513
1,random,5.0,nosched,0.001,0.7389000058174133,0.6306999921798706
2,random,5.0,nosched,0.01,0.767300009727478,0.6101999878883362
3,random,5.0,sched,0.0001,0.7342000007629395,0.6189000010490417
4,random,5.0,sched,0.001,0.7337999939918518,0.6294999718666077
5,random,5.0,sched,0.01,0.7699999809265137,0.6068999767303467
6,random,10.0,nosched,0.0001,0.7426999807357788,0.6324999928474426
7,random,10.0,nosched,0.001,0.7520999908447266,0.6309000253677368
8,random,10.0,nosched,0.01,0.7785999774932861,0.6031000018119812
9,random,10.0,sched,0.0001,0.7365999817848206,0.6295999884605408
10,random,10.0,sched,0.001,0.7494000196456909,0.633899986743927
11,random,10.0,sched,0.01,0.7749000191688538,0.6001999974250793
12,random,25.0,nosched,0.0001,0.7809000015258789,0.6473000049591064
13,random,25.0,nosched,0.001,0.7861999869346619,0.6459000110626221
14,random,25.0,nosched,0.01,0.7644000053405762,0.5813000202178955
15,random,25.0,sched,0.0001,0.7820000052452087,0.6417999863624573
16,random,25.0,sched,0.001,0.7968999743461609,0.6427000164985657
17,random,25.0,sched,0.01,0.8027999997138977,0.6097999811172485
