dataset,,,Flowers,Flowers,Flowers,Flowers
,,,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant
backbone,loss_function,init_lr,,,,
convnext_tiny,CLASSIC_AT,0.0001,0.0118660598179453,0.0029258777633289,0.3386229973636179,0.3401693368485094
convnext_tiny,CLASSIC_AT,0.0005,0.0180429128738621,0.0172301690507152,0.4492242952747921,0.4492242952747921
convnext_tiny,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
convnext_tiny,TRADES_v2,0.0005,0.0180429128738621,0.0180429128738621,0.4698337051308051,0.4698337051308051
robust_convnext_tiny,CLASSIC_AT,0.0001,0.6152470741222367,0.5156046814044213,0.1573463800446157,0.154887446765362
robust_convnext_tiny,CLASSIC_AT,0.0005,0.0177178153446033,0.016742522756827,0.4583755830460352,0.4583755830460352
robust_convnext_tiny,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
robust_convnext_tiny,TRADES_v2,0.0005,-1.0,-1.0,-1.0,-1.0
convnext_tiny.fb_in22k,CLASSIC_AT,0.0001,0.0850130039011703,0.0281209362808842,0.6050385955769795,0.5906263231606032
convnext_tiny.fb_in22k,CLASSIC_AT,0.0005,-1.0,-1.0,-1.0,-1.0
convnext_tiny.fb_in22k,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
convnext_tiny.fb_in22k,TRADES_v2,0.0005,-1.0,-1.0,-1.0,-1.0
random_convnext_tiny,CLASSIC_AT,0.0001,0.0110533159947984,0.0047139141742522,0.0202545122693165,0.0202545122693165
random_convnext_tiny,CLASSIC_AT,0.0005,0.0274707412223667,0.0120286085825747,0.0497363617927398,0.0497363617927398
random_convnext_tiny,TRADES_v2,0.0001,0.0669700910273081,0.0123537061118335,0.0939971608193064,0.0940732103021699
random_convnext_tiny,TRADES_v2,0.0005,0.1214239271781534,0.0609557867360208,0.1134404786047454,0.1127560332589738
convnext_base,CLASSIC_AT,0.0001,-1.0,-1.0,-1.0,-1.0
convnext_base,CLASSIC_AT,0.0005,-1.0,-1.0,-1.0,-1.0
convnext_base,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
convnext_base,TRADES_v2,0.0005,-1.0,-1.0,-1.0,-1.0
robust_convnext_base,CLASSIC_AT,0.0001,0.0476267880364109,0.0440507152145643,0.1821733273462056,0.1821733273462056
robust_convnext_base,CLASSIC_AT,0.0005,-1.0,-1.0,-1.0,-1.0
robust_convnext_base,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
robust_convnext_base,TRADES_v2,0.0005,-2.0,-2.0,-2.0,-2.0
convnext_base.fb_in22k,CLASSIC_AT,0.0001,-1.0,-1.0,-1.0,-1.0
convnext_base.fb_in22k,CLASSIC_AT,0.0005,-1.0,-1.0,-1.0,-1.0
convnext_base.fb_in22k,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
convnext_base.fb_in22k,TRADES_v2,0.0005,-1.0,-1.0,-1.0,-1.0
random_convnext_base,CLASSIC_AT,0.0001,0.0256827048114434,0.0134915474642392,0.014964077233947,0.014964077233947
random_convnext_base,CLASSIC_AT,0.0005,0.027633289986996,0.0136540962288686,0.0357543780871127,0.0357543780871127
random_convnext_base,TRADES_v2,0.0001,0.0729843953185955,0.0131664499349804,0.0447013920071845,0.0447462954647507
random_convnext_base,TRADES_v2,0.0005,0.1349154746423927,0.0687581274382314,0.0650089806915132,0.0629995509654243
deit_small_patch16_224.fb_in1k,CLASSIC_AT,0.0001,0.0,0.0,0.227555838875449,0.227555838875449
deit_small_patch16_224.fb_in1k,CLASSIC_AT,0.0005,0.0,0.0,0.227555838875449,0.227555838875449
deit_small_patch16_224.fb_in1k,TRADES_v2,0.0001,0.0,0.0,0.227555838875449,0.227555838875449
deit_small_patch16_224.fb_in1k,TRADES_v2,0.0005,0.0,0.0,0.227555838875449,0.227555838875449
robust_deit_small_patch16_224,CLASSIC_AT,0.0001,0.0,0.0,0.3078066610144103,0.3078066610144103
robust_deit_small_patch16_224,CLASSIC_AT,0.0005,0.0,0.0,0.3078066610144103,0.3078066610144103
robust_deit_small_patch16_224,TRADES_v2,0.0001,0.0,0.0,0.3078066610144103,0.3078066610144103
robust_deit_small_patch16_224,TRADES_v2,0.0005,0.0,0.0,0.3078066610144103,0.3078066610144103
random_deit_small_patch16_224,CLASSIC_AT,0.0001,0.0001625487646293,0.0,0.0179063040607154,0.0179063040607154
random_deit_small_patch16_224,CLASSIC_AT,0.0005,0.0004876462938881,0.0,0.0177734009776575,0.0177734009776575
random_deit_small_patch16_224,TRADES_v2,0.0001,0.0008127438231469,0.0,0.0161803690642741,0.0149849143986661
random_deit_small_patch16_224,TRADES_v2,0.0005,0.0035760728218465,0.0,0.0168670655880386,0.0168670655880386
vit_base_patch16_224.augreg_in1k,CLASSIC_AT,0.0001,0.3038036410923277,0.2092002600780234,0.291664912467072,0.2910324827178703
vit_base_patch16_224.augreg_in1k,CLASSIC_AT,0.0005,-1.0,-1.0,-1.0,-1.0
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.0005,-1.0,-1.0,-1.0,-1.0
vit_base_patch16_224.augreg_in21k,CLASSIC_AT,0.0001,0.1999349804941482,0.1490572171651495,0.4156185433848784,0.4124823324000452
vit_base_patch16_224.augreg_in21k,CLASSIC_AT,0.0005,0.0380364109232769,0.0084525357607282,0.5052477515922154,0.5052477515922154
vit_base_patch16_224.augreg_in21k,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
vit_base_patch16_224.augreg_in21k,TRADES_v2,0.0005,-1.0,-1.0,-1.0,-1.0
robust_vit_base_patch16_224,CLASSIC_AT,0.0001,0.0191807542262678,0.0151170351105331,0.3543797458238219,0.3543797458238219
robust_vit_base_patch16_224,CLASSIC_AT,0.0005,0.1267880364109233,0.1067945383615084,0.3478733532349317,0.3478733532349317
robust_vit_base_patch16_224,TRADES_v2,0.0001,-1.0,-1.0,-1.0,-1.0
robust_vit_base_patch16_224,TRADES_v2,0.0005,-1.0,-1.0,-1.0,-1.0
random_vit_base_patch16_224,CLASSIC_AT,0.0001,0.0450260078023407,0.0212938881664499,0.1040385489032499,0.1040385489032499
random_vit_base_patch16_224,CLASSIC_AT,0.0005,0.0461638491547464,0.0217815344603381,0.0971352890537455,0.0961219940158132
random_vit_base_patch16_224,TRADES_v2,0.0001,0.3407022106631989,0.1495448634590377,0.0418116838994339,0.0383932129364958
random_vit_base_patch16_224,TRADES_v2,0.0005,0.3182704811443433,0.1789661898569571,0.0490691747804517,0.046583147592153
