,backbone,loss_function,total_sum,total_geom_mean,rank_total_sum,rank_total_geom_mean
16,robust_convnext_tiny,CLASSIC_AT,8.363333333333333,1.3591918204059759,1.0,5.0
26,vit_base_patch16_224.dino,CLASSIC_AT,7.732666666666667,1.241263150196943,2.0,21.0
11,convnext_tiny.fb_in22k,TRADES_v2,7.680666666666667,1.413271099557933,3.0,1.0
18,robust_deit_small_patch16_224,CLASSIC_AT,7.612666666666667,1.2223595522703279,4.0,23.0
4,convnext_base.clip_laion2b_augreg,CLASSIC_AT,7.5793333333333335,1.3998428212584555,5.0,2.0
0,convnext_base,CLASSIC_AT,7.498666666666667,1.355709216498743,6.0,8.0
2,convnext_base.clip_laion2b,CLASSIC_AT,7.492,1.3843208443394355,7.0,3.0
6,convnext_base.fb_in22k,CLASSIC_AT,7.472,1.3502444884118618,8.0,10.0
10,convnext_tiny.fb_in22k,CLASSIC_AT,7.447333333333333,1.0095015217961258,9.0,30.0
8,convnext_tiny,CLASSIC_AT,7.374666666666666,1.1854413746330896,10.0,24.0
31,vit_base_patch16_224.orig_in21k,TRADES_v2,7.362,1.3567051442676294,11.0,6.0
17,robust_convnext_tiny,TRADES_v2,7.359333333333334,1.3636030787707514,12.0,4.0
33,vit_base_patch16_224.sam_in1k,TRADES_v2,7.246666666666666,1.3431383331874143,13.0,11.0
14,robust_convnext_base,CLASSIC_AT,7.23,1.3400658460803243,14.0,12.0
35,vit_base_patch16_224_miil.in21k,TRADES_v2,7.208,1.0994552644950326,15.0,26.0
9,convnext_tiny,TRADES_v2,7.142666666666667,1.3157231534183245,16.0,14.0
12,deit_small_patch16_224.fb_in1k,CLASSIC_AT,7.1306666666666665,1.1302505880582039,17.0,25.0
25,vit_base_patch16_224.augreg_in21k,TRADES_v2,6.99,1.276281616858302,18.0,18.0
27,vit_base_patch16_224.dino,TRADES_v2,6.9526666666666666,1.2926590055151264,19.0,17.0
22,vit_base_patch16_224.augreg_in1k,CLASSIC_AT,6.780666666666667,1.0365566895950626,20.0,28.0
13,deit_small_patch16_224.fb_in1k,TRADES_v2,6.736,1.2569845858790776,21.0,19.0
19,robust_deit_small_patch16_224,TRADES_v2,6.678,1.2470208402236822,22.0,20.0
29,vit_base_patch16_224.mae,TRADES_v2,6.500666666666667,1.2273760481144242,23.0,22.0
7,convnext_base.fb_in22k,TRADES_v2,6.416,1.355899383096052,24.0,7.0
1,convnext_base,TRADES_v2,6.395333333333333,1.3525281794851882,25.0,9.0
5,convnext_base.clip_laion2b_augreg,TRADES_v2,6.253333333333334,1.3356227996273835,26.0,13.0
15,robust_convnext_base,TRADES_v2,6.026666666666666,1.299359957963546,27.0,15.0
3,convnext_base.clip_laion2b,TRADES_v2,6.007333333333333,1.296874296321858,28.0,16.0
24,vit_base_patch16_224.augreg_in21k,CLASSIC_AT,5.49,0.5262654443397486,29.0,35.0
32,vit_base_patch16_224.sam_in1k,CLASSIC_AT,5.302666666666667,1.0240973230756936,30.0,29.0
30,vit_base_patch16_224.orig_in21k,CLASSIC_AT,5.292666666666666,0.9916812085166937,31.0,33.0
23,vit_base_patch16_224.augreg_in1k,TRADES_v2,4.6226666666666665,1.0597698114148129,32.0,27.0
28,vit_base_patch16_224.mae,CLASSIC_AT,3.8373333333333335,0.713499265768678,33.0,34.0
34,vit_base_patch16_224_miil.in21k,CLASSIC_AT,1.4746666666666666,0.14898634178837664,34.0,36.0
21,robust_vit_base_patch16_224,TRADES_v2,0.0,1.0,35.5,31.5
20,robust_vit_base_patch16_224,CLASSIC_AT,0.0,1.0,35.5,31.5
