backbone,ft_type,freeze_epochs,dataset,pruning_strategy,pruning_ratio,batch_strategy,aug,iterations,delta,batch_size,sample_size,loss_function,init_lr,sched,momentum,weight_decay,seed,log_dir,statedict_dir,data_dir,task,num_workers,epsilon,step_size,perturb_steps,beta,distance,unsup_fraction,exp,timestamp,clean_acc,robust_acc,id,nat_zero_mean,nat_dormant_mean,nat_overactive_mean,adv_zero_mean,adv_dormant_mean,adv_overactive_mean
wideresnet_28_10,full_fine_tuning,10,Flowers,random,0.0,random,aug,2,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/18/23/40/48,0.0086150845253576,0.0,92d950a750f38a77b251d51effbb58b3,0.0071092371053147,0.0412090606001176,0.025764855854089,0.0071092371053147,0.0412090606001176,0.025764855854089
convnext_tiny,full_fine_tuning,10,Flowers,random,0.0,random,aug,2,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/18/15/04/29,0.015625,0.0,fa9cdff98ef8868400382bb4ae02daaa,0.0028726015171798,0.0369533690316822,0.0323795180722891,0.0028447121820615,0.0369533690316822,0.0323795180722891
vit_base_patch16_224.augreg_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,2,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/18/23/35/19,0.0642067620286085,0.0003250975292587,c80456dc68b24b654003a24bc5914083,0.5486562561846583,0.5696993018350711,0.0837251737028419,0.5486562561846583,0.5696993018350711,0.0837251737028419
deit_small_patch16_224.fb_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,2,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/18/23/32/16,0.0175552665799739,0.0,34d0086dbc1ec069007b11c83490e2b3,0.555556289907435,0.5768076989451035,0.0804593248613604,0.5576481524318675,0.5768076989451035,0.0804593248613604
convnext_base,full_fine_tuning,10,Flowers,random,0.0,random,aug,2,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/18/15/04/47,0.0,0.0,9472265e660a859c83cdcb984fc81b8e,0.0066325098259404,0.0700683136814523,0.0389996256784577,0.0066325098259404,0.0700683136814523,0.0389996256784577
deit_small_patch16_224.fb_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,30,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/19/02/33/00,0.6547464239271782,0.4058842652795839,ab5bd8f26b65924ecb8af43de7fc29a0,0.5518000800443549,0.5722659773550359,0.0834758587939249,0.551154584742371,0.5722659773550359,0.0834758587939249
vit_base_patch16_224.augreg_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,30,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/18/23/10/05,0.0074772431729518,0.0,52bd0f489ae9ad2e7bd35d4476b20c72,0.5486561337919145,0.5696993018350711,0.0837251431046559,0.5486561337919145,0.5696993018350711,0.0837251431046559
robust_deit_small_patch16_224,full_fine_tuning,10,Flowers,random,0.0,random,aug,30,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/19/00/46/26,0.1167100130039011,0.0607932379713914,67e69cc4d47a90384fd46be0e9d1a7b6,0.5617804116531852,0.5834279423337948,0.0841693929480189,0.5648779690764424,0.5834279423337948,0.0841693929480189
robust_vit_base_patch16_224,full_fine_tuning,10,Flowers,random,0.0,random,aug,30,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/19/01/11/24,0.0658322496749024,0.0247074122236671,55719dfc5a277d9e27e8d0dd583231f9,0.5699542459205581,0.5922885962152002,0.0816368016132342,0.5626932351939355,0.5922885962152002,0.0816368016132342
robust_wideresnet_28_10,full_fine_tuning,10,Flowers,random,0.0,random,aug,30,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/19/01/04/12,0.0055266579973992,0.0,ace96ef1bdeea42842bc5215595efe40,0.0096342420082369,0.0934742106295352,0.0697930966856246,0.0096342420082369,0.0934742106295352,0.0697930966856246
