backbone,ft_type,freeze_epochs,dataset,pruning_strategy,pruning_ratio,batch_strategy,aug,iterations,delta,batch_size,sample_size,loss_function,init_lr,sched,momentum,weight_decay,seed,log_dir,statedict_dir,data_dir,task,num_workers,epsilon,step_size,perturb_steps,beta,distance,unsup_fraction,exp,timestamp,clean_acc,robust_acc,id,nat_zero_mean,nat_dormant_mean,nat_overactive_mean,adv_zero_mean,adv_dormant_mean,adv_overactive_mean
wideresnet_28_10,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/00/36/54,0.0,0.0,681556a3e694455f9f39ec663733d190,0.0024514610707981,0.0350804079231221,0.0155422631888605,0.0024514610707981,0.0350804079231221,0.0155422631888605
robust_wideresnet_28_10,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/27/20,0.0,0.0,140b01979facb3b264af9d532bbbe9f6,0.0046822906452245,0.033879191998431,0.0199794077270052,0.0046822906452245,0.033879191998431,0.0199794077270052
deit_small_patch16_224.fb_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/37/26,0.003125,0.0,8c78909bd3636f6928d4aaf3a0cf438e,0.1228503072650655,0.2039058646565008,0.0519968557500364,0.1225452146571739,0.2036929638074676,0.0519810977826245
vit_base_patch16_224.augreg_in21k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/43/44,0.0,0.0,a730b80dc3e8b23e700142b810577ef6,0.4196032051722194,0.5184687437694444,0.0670009243100017,0.4196032051722194,0.5184687437694444,0.0670009243100017
robust_deit_small_patch16_224,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/43/56,0.0,0.0,e66c2e34f2a447e32c675145ad08a59d,0.178780351681115,0.2853188066292392,0.0596326159939391,0.178780351681115,0.2853188066292392,0.0596326159939391
robust_vit_base_patch16_224,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/46/12,0.05,0.021875,d24f959a37f2cda82b94df49dcb15756,0.2146387015157974,0.3413941500429782,0.0713443980045576,0.2134995004540159,0.3395187107295231,0.0710931410004799
convnext_base,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/46/52,0.0125,0.0,afa298ee4214b1e8ea3b363055100eab,0.0049714579824068,0.0689687441512259,0.0393271570278869,0.0047959947594984,0.0687464907355418,0.0393388545760808
vit_base_patch16_224.augreg_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/51/19,0.4,0.2125,026ac4b39c502ed059c4ea7e865d8f91,0.1439246414412773,0.2047316361621111,0.0511145297444353,0.1437276197218282,0.2036724952539153,0.0508881184673637
convnext_base.fb_in22k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/52/46,0.0125,0.0,c7609b1e906f7367bbe267d363fc7f72,0.0042462099943851,0.0644417930001871,0.0388475575519371,0.0039537712895377,0.0636697548193898,0.0389177428411005
robust_convnext_base,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/01/53/19,0.0,0.0,8dde9187fb3d31d66f2d219ca44fa113,0.0021523488676773,0.16397623058207,0.058230394909227,0.0021523488676773,0.16397623058207,0.058230394909227
