dataset,,,Aircraft,Aircraft,CIFAR10,CIFAR10,CIFAR100,CIFAR100
,,,mean_clean_accuracy,mean_robust_accuracy,mean_clean_accuracy,mean_robust_accuracy,mean_clean_accuracy,mean_robust_accuracy
pre_trained,loss_function,init_lr,,,,,,
imagenet1k_non_robust,APGD,0.0001,0.0108010801080108,0.0078007800780078,,,0.1447,0.0895
imagenet1k_non_robust,APGD,0.0005,0.0099009900990099,0.0099009900990099,,,0.2444,0.1437
imagenet1k_non_robust,APGD,0.001,0.0099009900990099,0.0099009900990099,,,0.3,0.1869
imagenet1k_non_robust,TRADES_v2,0.0001,0.2499249924992499,0.0336033603360336,0.8448,0.5561,0.6305,0.2892
imagenet1k_non_robust,TRADES_v2,0.0005,0.3714371437143714,0.1029102910291029,0.8721,0.5981,0.6419,0.3332
imagenet1k_non_robust,TRADES_v2,0.001,0.0147014701470147,0.0075007500750075,0.8528,0.6031,0.6135,0.331
imagenet1k_robust,APGD,0.0001,0.0096009600960096,0.0003000300030003,,,0.1261,0.0706
imagenet1k_robust,APGD,0.0005,0.0165016501650165,0.0033003300330033,,,0.3248,0.2084
imagenet1k_robust,APGD,0.001,0.0183018301830183,0.0099009900990099,,,0.3611,0.2332
imagenet1k_robust,TRADES_v2,0.0001,0.087008700870087,0.0174017401740174,0.747,0.5015,0.3665,0.166
imagenet1k_robust,TRADES_v2,0.0005,0.2433243324332433,0.0927092709270927,0.823,0.5676,0.5588,0.2907
imagenet1k_robust,TRADES_v2,0.001,0.3018301830183018,0.1401140114011401,0.8345,0.584,0.6088,0.3219
imagenet21k_non_robust,APGD,0.0001,0.0105010501050105,0.0,,,0.0147,0.002
imagenet21k_non_robust,APGD,0.0005,0.0093009300930093,0.0003000300030003,,,0.3637,0.2208
imagenet21k_non_robust,APGD,0.001,0.0186018601860186,0.0006000600060006,,,0.2616,0.1652
imagenet21k_non_robust,TRADES_v2,0.0001,0.0405040504050405,0.0,0.8188,0.4421,0.5591,0.1822
imagenet21k_non_robust,TRADES_v2,0.0005,0.4383438343834383,0.0444044404440444,0.8677,0.5495,0.6561,0.2958
imagenet21k_non_robust,TRADES_v2,0.001,0.6147614761476148,0.1608160816081608,0.8724,0.5821,0.6797,0.3283
