dataset,,,Aircraft,Aircraft,Aircraft,Aircraft,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR100,CIFAR100,CIFAR100,CIFAR100,EuroSAT,EuroSAT,EuroSAT,EuroSAT,Flowers,Flowers,Flowers,Flowers
,,,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant
backbone,loss_function,init_lr,,,,,,,,,,,,,,,,,,,,
convnext_base,APGD,0.0001,0.0098920863309352,0.0098920863309352,0.2979761347683669,0.2979761347683669,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0032509752925877,0.0032509752925877,0.2142288976230582,0.2142288976230582
convnext_base,APGD,0.0005,0.0098920863309352,0.0098920863309352,0.3864529714553112,0.3864529714553112,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0105656697009102,0.0105656697009102,0.3567635223657121,0.3567635223657121
convnext_base,APGD,0.001,0.0098920863309352,0.0098920863309352,0.4057323350491343,0.4057323350491343,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0105656697009102,0.0105656697009102,0.3870016844469399,0.3870016844469399
convnext_base,TRADES_v2,0.0001,0.0365707434052757,0.0215827338129496,0.1197590079550772,0.1197590079550772,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
convnext_base,TRADES_v2,0.0005,0.0098920863309352,0.0098920863309352,0.3734440804866635,0.3734440804866635,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
convnext_base,TRADES_v2,0.001,0.0101918465227817,0.0101918465227817,0.406200280767431,0.406200280767431,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
convnext_base.fb_in22k,APGD,0.0001,0.0098920863309352,0.0098920863309352,0.2995320542817033,0.2995320542817033,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0069895968790637,0.0069895968790637,0.2536613325846902,0.2536613325846902
convnext_base.fb_in22k,APGD,0.0005,0.0098920863309352,0.0098920863309352,0.3719817501169864,0.3719817501169864,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0105656697009102,0.0105656697009102,0.3427849522740033,0.3427849522740033
convnext_base.fb_in22k,APGD,0.001,0.0101918465227817,0.0101918465227817,0.4120028076743098,0.4120028076743098,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0105656697009102,0.0105656697009102,0.3822290847838293,0.3822290847838293
convnext_base.fb_in22k,TRADES_v2,0.0001,0.0536570743405275,0.0188848920863309,0.1168694431445952,0.1168694431445952,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
convnext_base.fb_in22k,TRADES_v2,0.0005,0.0431654676258992,0.0233812949640287,0.1125643425362658,0.1125643425362658,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
convnext_base.fb_in22k,TRADES_v2,0.001,0.0098920863309352,0.0098920863309352,0.4067384183434721,0.4067384183434721,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
convnext_tiny,APGD,0.0001,0.0101918465227817,0.0101918465227817,0.3644833742468199,0.3644833742468199,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0105656697009102,0.0105656697009102,0.3130298973672468,0.3130298973672468
convnext_tiny,APGD,0.0005,0.0101918465227817,0.0101918465227817,0.4186565498772595,0.4186565498772595,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0162548764629388,0.0162548764629388,0.4029730031236055,0.4029730031236055
convnext_tiny,APGD,0.001,0.0101918465227817,0.0101918465227817,0.4560365989734434,0.4560365989734434,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0162548764629388,0.0162548764629388,0.4285475234270415,0.4285475234270415
convnext_tiny,TRADES_v2,0.0001,0.0101918465227817,0.0101918465227817,0.3345793349698728,0.3345793349698728,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.4284785435630689,0.1809167750325097,0.0884091923248549,0.0883813029897367
convnext_tiny,TRADES_v2,0.0005,0.0101918465227817,0.0101918465227817,0.423091943762553,0.423091943762553,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0162548764629388,0.0162548764629388,0.4065986166889781,0.4065986166889781
convnext_tiny,TRADES_v2,0.001,0.0101918465227817,0.0101918465227817,0.4608067395670609,0.4608067395670609,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0066644993498049,0.0066644993498049,0.4334560464078536,0.4334560464078536
convnext_tiny.fb_in22k,APGD,0.0001,0.0098920863309352,0.0098920863309352,0.3132950234322695,0.3132950234322695,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0066644993498049,0.0066644993498049,0.2746262829094154,0.2746262829094154
