,arch,aug,batch_size,dataset,exp,init_lr,iterations,loss_function,pre_trained,pruning_ratio,pruning_strategy,sched,adv_acc,nat_acc,run_id,combi
36242611,convnext,aug,64,Aircraft,RQ1,0.0001,50,TRADES_v2,imagenet1k_non_robust,0.0,random,nosched,0.0021002100210021,0.0414041404140414,36242611,imagenet1k_non_robust_TRADES_v2
36242612,convnext,aug,64,Aircraft,RQ1,0.0001,50,TRADES_v2,imagenet1k_robust,0.0,random,nosched,0.0159015901590159,0.0708070807080708,36242612,imagenet1k_robust_TRADES_v2
36242610,convnext,aug,64,Aircraft,RQ1,0.0001,50,TRADES_v2,imagenet21k_non_robust,0.0,random,nosched,0.0006000600060006,0.0549054905490549,36242610,imagenet21k_non_robust_TRADES_v2
36242614,convnext,aug,64,Aircraft,RQ1,0.0005,50,TRADES_v2,imagenet1k_non_robust,0.0,random,nosched,0.0093009300930093,0.0246024602460246,36242614,imagenet1k_non_robust_TRADES_v2
36242613,convnext,aug,64,Aircraft,RQ1,0.0005,50,TRADES_v2,imagenet21k_non_robust,0.0,random,nosched,0.0534053405340534,0.4221422142214221,36242613,imagenet21k_non_robust_TRADES_v2
36242615,convnext,aug,64,Aircraft,RQ1,0.0005,50,TRADES_v2,imagenet1k_robust,0.0,random,nosched,0.006000600060006,0.0165016501650165,36242615,imagenet1k_robust_TRADES_v2
36242616,convnext,aug,64,Aircraft,RQ1,0.001,50,TRADES_v2,imagenet21k_non_robust,0.0,random,nosched,0.1527152715271527,0.6033603360336034,36242616,imagenet21k_non_robust_TRADES_v2
36242617,convnext,aug,64,Aircraft,RQ1,0.001,50,TRADES_v2,imagenet1k_non_robust,0.0,random,nosched,0.0165016501650165,0.027002700270027,36242617,imagenet1k_non_robust_TRADES_v2
36242618,convnext,aug,64,Aircraft,RQ1,0.001,50,TRADES_v2,imagenet1k_robust,0.0,random,nosched,0.1515151515151515,0.3072307230723072,36242618,imagenet1k_robust_TRADES_v2
36242619,convnext,aug,64,Aircraft,RQ1,0.0001,50,APGD,imagenet21k_non_robust,0.0,random,nosched,0.0057005700570057,0.0126012601260126,36242619,imagenet21k_non_robust_APGD
36242620,convnext,aug,64,Aircraft,RQ1,0.0001,50,APGD,imagenet1k_non_robust,0.0,random,nosched,0.0102010201020102,0.0102010201020102,36242620,imagenet1k_non_robust_APGD
36242621,convnext,aug,64,Aircraft,RQ1,0.0001,50,APGD,imagenet1k_robust,0.0,random,nosched,0.0036003600360036,0.0243024302430243,36242621,imagenet1k_robust_APGD
36242622,convnext,aug,64,Aircraft,RQ1,0.0005,50,APGD,imagenet21k_non_robust,0.0,random,nosched,0.0012001200120012,0.0123012301230123,36242622,imagenet21k_non_robust_APGD
36242623,convnext,aug,64,Aircraft,RQ1,0.0005,50,APGD,imagenet1k_non_robust,0.0,random,nosched,0.0078007800780078,0.0135013501350135,36242623,imagenet1k_non_robust_APGD
36242624,convnext,aug,64,Aircraft,RQ1,0.0005,50,APGD,imagenet1k_robust,0.0,random,nosched,0.0009000900090009,0.0117011701170117,36242624,imagenet1k_robust_APGD
36242625,convnext,aug,64,Aircraft,RQ1,0.001,50,APGD,imagenet21k_non_robust,0.0,random,nosched,0.0033003300330033,0.0141014101410141,36242625,imagenet21k_non_robust_APGD
36242626,convnext,aug,64,Aircraft,RQ1,0.001,50,APGD,imagenet1k_non_robust,0.0,random,nosched,0.0063006300630063,0.0081008100810081,36242626,imagenet1k_non_robust_APGD
36242627,convnext,aug,64,Aircraft,RQ1,0.001,50,APGD,imagenet1k_robust,0.0,random,nosched,0.0099009900990099,0.0099009900990099,36242627,imagenet1k_robust_APGD
