,lr1,lr2,wd1,wd2,sched,model_size,backbone,dataset,loss_function,model_type,ft_strategy
0,2.3187283452990446e-05,1.977953176726232e-06,0.00048096354537337677,0.0002356470857433856,True,2,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
1,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,CLIP-convnext_base_w-laion2B-s13B-b82K,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
2,2.3187283452990446e-05,1.977953176726232e-06,0.00048096354537337677,0.0002356470857433856,True,1,deit_small_patch16_224.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
3,1.3522435991628919e-06,1.3852636558523316e-06,9.657045339595033e-06,0.0027549377795644306,False,1,robust_resnet50,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
4,0.0020029009435785323,8.64754628963291e-06,0.00012278527022579734,0.004125884444386558,True,1,vit_small_patch16_224.augreg_in21k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
5,9.613989345165609e-05,8.700690210600536e-05,0.00047751184301655973,0.0055227614309091245,True,2,convnext_base.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
6,3.281935434200338e-06,0.00017356718938172,0.004309054751874309,1.4943646773788343e-05,False,1,resnet50.a1_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
7,1.2384572243648865e-06,2.239291948629666e-06,8.818210135856339e-05,0.0002662673074410208,False,2,robust_vit_base_patch16_224,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
8,3.690803219673014e-05,0.0028947634357865313,0.0032029975700290426,0.00378814552109712,True,2,vit_base_patch16_224.mae,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
9,1.8265380461793793e-05,0.005237563126155606,6.049478317034524e-06,0.0002115610477060778,False,1,vit_small_patch16_224.dino,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
10,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.fb_in22k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
11,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,robust_convnext_base,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
12,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.augreg_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
13,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.augreg_in21k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
14,0.0026674574591455755,1.0525948689799705e-05,0.0032543911150884836,1.2869165107815028e-06,True,2,vit_base_patch16_clip_224.laion2b,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
15,0.001213086542901601,0.055600872086063784,0.00631981662437257,0.00016850498474700162,False,1,convnext_tiny.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
16,0.0004632617302122406,0.0028799541239828896,1.8283634209844514e-05,0.0005571905096939264,True,1,robust_convnext_tiny,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
17,1.249090035686812e-06,2.163516693024963e-06,0.001766387807497407,0.0003508830920026724,False,1,robust_deit_small_patch16_224,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
18,0.0004561758150522565,3.521116041991218e-06,3.838229897022728e-06,0.00010843137252669625,True,1,vit_small_patch16_224.augreg_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
19,9.613989345165609e-05,8.700690210600536e-05,0.00047751184301655973,0.0055227614309091245,True,1,convnext_tiny.fb_in22k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
20,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_clip_224.laion2b_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
21,1.4820285018742478e-06,0.0013187119216379328,0.000439079257324,1.5630799020950923e-05,True,2,vit_base_patch16_224.augreg_in21k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
22,0.00041084986459893116,0.004831225725349887,4.5880110941328475e-06,0.0005600582122085054,True,1,vit_small_patch16_224.augreg_in21k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
23,9.613989345165609e-05,8.700690210600536e-05,0.00047751184301655973,0.0055227614309091245,True,2,eva02_base_patch14_224.mim_in22k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
24,7.2728150208881555e-06,4.849296602698792e-06,0.005375041876450287,0.0006127349401923009,False,1,eva02_tiny_patch14_224.mim_in22k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
25,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,swin_base_patch4_window7_224.ms_in22k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
26,4.0431260261004145e-06,1.6701650552273647e-06,2.6913892686855095e-06,7.995347689531275e-06,True,1,swin_tiny_patch4_window7_224.ms_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
27,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
28,1.4820285018742478e-06,0.0013187119216379328,0.000439079257324,1.5630799020950923e-05,True,2,convnext_base.fb_in22k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
29,8.036752987046991e-05,0.005614247491665514,0.00011080667247036247,0.0001458166846972585,False,1,convnext_tiny.fb_in22k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
30,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,coatnet_0_rw_224.sw_in1k,uc-merced-land-use-dataset,TRADES_v2,hybrid,full_fine_tuning_50epochs
31,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,coatnet_2_rw_224.sw_in12k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,hybrid,full_fine_tuning_50epochs
32,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,coatnet_2_rw_224.sw_in12k,uc-merced-land-use-dataset,TRADES_v2,hybrid,full_fine_tuning_50epochs
33,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,regnetx_004.pycls_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
34,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,efficientnet-b0,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
35,0.0004632617302122406,0.0028799541239828896,1.8283634209844514e-05,0.0005571905096939264,True,0,deit_tiny_patch16_224.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention,full_fine_tuning_50epochs
36,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,mobilevit-small,uc-merced-land-use-dataset,TRADES_v2,hybrid,full_fine_tuning_50epochs
37,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,mobilenetv3_large_100.ra_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
38,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,edgenext_small.usi_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
39,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,coat_tiny.in1k,uc-merced-land-use-dataset,TRADES_v2,hybrid,full_fine_tuning_50epochs
40,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
41,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,CLIP-convnext_base_w-laion2B-s13B-b82K,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
42,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,deit_small_patch16_224.fb_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
43,0.0026674574591455755,1.0525948689799705e-05,0.0032543911150884836,1.2869165107815028e-06,True,1,robust_resnet50,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
