dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,TOTAL,TOTAL,TOTAL,TOTAL
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,score_sum,score_geom,nan_sum_cnt,nan_geom_cnt
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swin_base_patch4_window7_224.ms_in22k_ft_in1k,TRADES_v2,0.598,0.22,0.087,0.915,0.794,0.0083154300372,2,2.614,0.0,0.0,0.0,0.312,0.2613333333333333,0.0,2,0.5733333333333333,0.076,0.011,0.0,0.435,0.392,0.0,2,0.914,0.001,0.0,0.0,0.794,0.711,0.0,2,1.506,0.006,0.002,0.0,0.301,0.247,0.0,2,0.556,0.0,0.0,0.0,0.6523809523809524,0.45396825396825397,0.0,2,1.1063492063492064,7.26968253968254,0.0083154300372,0,0
eva02_base_patch14_224.mim_in22k,TRADES_v2,0.08533333333333333,0.08,0.021,0.902,0.7746666666666666,0.00010017270442666667,2,1.863,0.001,0.0,0.0,0.122,0.104,0.0,2,0.22699999999999998,0.004,0.006,0.0013333333333333333,0.0013333333333333333,0.003,1.28e-13,2,0.015666666666666666,0.006,0.026,0.004,0.728,0.6173333333333333,2.8043724799999996e-07,2,1.3813333333333333,0.001,0.003,0.0,0.578,0.466,0.0,2,1.048,0.002380952380952381,0.0,0.0,0.6952380952380952,0.5166666666666667,0.0,2,1.2142857142857144,5.7492857142857146,0.00010045314180266668,0,0
convnext_base.fb_in1k,TRADES_v2,0.128,0.034,0.014666666666666666,0.9093333333333333,0.791,4.591133309155556e-05,2,1.8770000000000002,0.0,0.0,0.0,0.088,0.088,0.0,2,0.176,0.017,0.019,0.016,0.07,0.06,2.1705600000000004e-08,2,0.182,0.0,0.0,0.0,0.9053333333333333,0.828,0.0,2,1.7333333333333334,0.0,0.0,0.0,0.584,0.4066666666666667,0.0,2,0.9906666666666666,,,,,,,2,,4.9590000000000005,4.5933038691555557e-05,1,1
vit_base_patch16_clip_224.laion2b,TRADES_v2,0.36933333333333335,0.249,0.144,0.804,0.642,0.006835517849088001,2,2.2083333333333335,0.002,0.002,0.0,0.008,0.008,0.0,2,0.02,0.001,0.0013333333333333333,0.001,0.002,0.004,1.0666666666666667e-14,2,0.009333333333333332,,,,,,,2,,0.004,0.025333333333333333,0.004,0.828,0.6613333333333333,2.21954048e-07,2,1.5226666666666666,0.05952380952380952,0.0,0.0,0.5404761904761904,0.4023809523809524,0.0,2,1.0023809523809524,4.762714285714286,0.006835739803146668,1,1
CLIP-convnext_base_w-laion2B-s13B-b82K,TRADES_v2,0.092,0.092,0.092,0.092,0.092,6.590815231999999e-06,2,0.45999999999999996,0.0,0.0,0.0,0.178,0.15866666666666668,0.0,2,0.33666666666666667,0.01,0.010666666666666666,0.009,0.01,0.009,8.64e-11,2,0.04866666666666667,0.04,0.13466666666666666,0.068,0.72,0.616,0.00016245841920000003,2,1.5786666666666669,0.032,0.21333333333333335,0.276,0.8,0.642,0.0009677045760000002,2,1.9633333333333334,0.047619047619047616,0.050793650793650794,0.050793650793650794,0.050793650793650794,0.047619047619047616,2.9715955350507486e-07,2,0.24761904761904763,4.634952380952382,0.0011370510563855052,0,0
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,TRADES_v2,0.4026666666666667,0.405,0.304,0.666,0.586,0.01934844786432,2,2.3636666666666666,0.01,0.008,0.01,0.01,0.01,8.000000000000001e-11,2,0.048,0.0,0.0,0.0,0.012,0.015,0.0,2,0.027,0.029333333333333333,0.023,0.011,0.037,0.032,8.786858666666665e-09,2,0.13233333333333336,0.001,0.0,0.0,0.8773333333333333,0.7893333333333333,0.0,2,1.6676666666666666,,,,,,,2,,4.238666666666667,0.019348456731178666,1,1
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.112,0.114,0.106,0.114,0.127,1.9594641024e-05,2,0.573,0.007,0.004,0.0,0.051,0.048,0.0,2,0.10999999999999999,0.050666666666666665,0.03,0.001,0.485,0.422,3.1109839999999994e-07,2,0.9886666666666666,0.006,0.0,0.0,0.72,0.617,0.0,2,1.343,0.001,0.002,0.002,0.005,0.005,1.0000000000000002e-13,2,0.015000000000000003,0.0,0.0,0.0,0.6523809523809524,0.4928571428571429,0.0,2,1.1452380952380952,4.174904761904761,1.9905739524e-05,0,0
convnext_base.fb_in22k_ft_in1k,TRADES_v2,,,,,,,2,,0.0,0.0,0.0,0.059,0.054,0.0,2,0.11299999999999999,0.0,0.0,0.0,0.006666666666666667,0.015,0.0,2,0.021666666666666667,0.015,0.0,0.0,0.913,0.819,0.0,2,1.7469999999999999,0.044,0.04666666666666667,0.006,0.494,0.375,2.28228e-06,2,0.9656666666666667,0.0,0.0,0.0,0.6888888888888889,0.6063492063492063,0.0,2,1.295238095238095,4.142571428571428,2.28228e-06,1,1
