dataset,,,,,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
ft_strategy,,,,,FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs)
model_type,model_size,pre_training_strategy,loss_function,backbone,,,,,,,,,,,,,,,,,,
fully attention,large,fusion,Classic AT,vit_base_patch16_clip_224.laion2b_ft_in1k,796.0,488.0,770.0,623.0,511.0,581.0,539.0,322.0,415.0,485.0,535.0,506.0,619.0,456.0,569.0,658.0,363.0,549.0
fully attention,large,fusion,TRADES,vit_base_patch16_clip_224.laion2b_ft_in1k,792.0,174.0,545.0,536.0,215.0,500.0,735.0,167.0,412.0,657.0,293.0,409.0,497.0,75.0,455.0,589.0,112.0,749.0
fully attention,large,self-supervised,Classic AT,eva02_base_patch14_224.mim_in22k,745.0,164.0,672.0,713.0,275.0,500.0,771.0,122.0,504.0,586.0,385.0,580.0,618.0,303.0,568.0,667.0,77.0,562.0
fully attention,large,self-supervised,Classic AT,vit_base_patch16_224.mae,759.0,319.0,910.0,718.0,163.0,726.0,648.0,224.0,631.0,765.0,595.0,730.0,844.0,369.0,882.0,635.0,170.0,772.0
fully attention,large,self-supervised,TRADES,eva02_base_patch14_224.mim_in22k,542.0,64.0,540.0,559.0,52.0,473.0,773.0,96.0,377.0,471.0,169.0,425.0,487.0,55.0,473.0,490.0,118.0,534.0
fully attention,large,self-supervised,TRADES,vit_base_patch16_224.mae,926.0,321.0,900.0,839.0,125.0,676.0,701.0,409.0,727.0,764.0,289.0,676.0,807.0,146.0,782.0,617.0,388.0,752.0
fully attention,large,self-supervised (multimodal),Classic AT,vit_base_patch16_clip_224.laion2b,961.0,426.0,748.0,669.0,455.0,533.0,544.0,297.0,810.0,631.0,545.0,617.0,608.0,493.0,548.0,590.0,160.0,567.0
fully attention,large,self-supervised (multimodal),TRADES,vit_base_patch16_clip_224.laion2b,512.0,185.0,596.0,816.0,244.0,466.0,805.0,117.0,763.0,640.0,197.0,516.0,316.0,49.0,434.0,501.0,636.0,511.0
fully attention,large,supervised,Classic AT,vit_base_patch16_224.augreg_in1k,587.0,310.0,747.0,654.0,229.0,629.0,466.0,204.0,593.0,870.0,572.0,572.0,580.0,323.0,696.0,512.0,125.0,735.0
