dataset,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,,,,,,borda,nan_geom_cnt,nan_sum_cnt,rank_borda,rank_geom,rank_sum,score_geom,score_sum,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data
backbone,backbone_name,loss_function,pre_training_strategy,model_type,model_size,ft_strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust_convnext_tiny,"convnext_t,rob-sup,in1k",CLASSIC_AT,supervised (robust),fully convolutional,medium,FFT (50 epochs),1751.0,0,0,3.0,3.0,1.0,0.14301596769090136,7.7293015873015865,0.502,0.671,0.703,357.0,0.81,0.72,0.1381017168432,3.4059999999999997,1281167,0.001,0.013,0.03333333333333333,338.0,0.088,0.1,3.813333333333333e-09,0.23533333333333334,1281167,0.101,0.224,0.241,381.0,0.372,0.29733333333333334,0.000603077289472,1.2353333333333332,1281167,0.032,0.324,0.6253333333333333,384.0,0.8613333333333333,0.772,0.004311169744895999,2.6146666666666665,1281167,0.0,0.0013333333333333333,0.001,117.0,0.01,0.005,0.0,0.017333333333333333,1281167,0.0,0.006349206349206349,0.009523809523809525,174.0,0.1,0.10476190476190476,0.0,0.22063492063492063,1281167
swin_base_patch4_window7_224.ms_in22k_ft_in1k,"swin_b,sup,ink22k-in1k",TRADES_v2,supervised (multistep),fully attention,large,FFT (50 epochs),1329.0,0,0,13.0,12.0,2.0,0.0083154300372,7.26968253968254,0.598,0.22,0.087,325.0,0.915,0.794,0.0083154300372,2.614,15478289,0.0,0.0,0.0,161.0,0.312,0.2613333333333333,0.0,0.5733333333333333,15478289,0.076,0.011,0.0,288.0,0.435,0.392,0.0,0.914,15478289,0.001,0.0,0.0,179.0,0.794,0.711,0.0,1.506,15478289,0.006,0.002,0.0,229.0,0.301,0.247,0.0,0.556,15478289,0.0,0.0,0.0,147.0,0.6523809523809524,0.45396825396825397,0.0,1.1063492063492064,15478289
robust_resnet50,"resnet50,rob-sup,in1k",CLASSIC_AT,supervised (robust),fully convolutional,medium,FFT (50 epochs),1761.0,0,0,2.0,6.0,3.0,0.040652003030984096,6.600285714285714,0.14,0.427,0.646,330.0,0.81,0.606,0.0189559725768,2.629,1281167,0.0,0.0,0.003,163.0,0.032,0.029,0.0,0.064,1281167,0.005,0.048,0.116,342.0,0.234,0.18266666666666667,1.1899929600000001e-06,0.5856666666666667,1281167,0.026,0.026,0.025,196.0,0.027,0.025,1.14075e-08,0.129,1281167,0.002,0.042,0.111,334.0,0.271,0.169,4.270298760000001e-07,0.595,1281167,0.17857142857142858,0.46904761904761905,0.5619047619047619,396.0,0.8380952380952381,0.55,0.02169440202384809,2.5976190476190473,1281167
convnext_base.fb_in1k,"convnext_b,sup,in1k",TRADES_v2,supervised,fully convolutional,large,FFT (50 epochs),1199.0,0,0,28.0,30.0,4.0,4.5933038691555557e-05,6.424079365079366,0.128,0.034,0.014666666666666666,261.0,0.9093333333333333,0.791,4.591133309155556e-05,1.8770000000000002,1281167,0.0,0.0,0.0,145.0,0.088,0.088,0.0,0.176,1281167,0.017,0.019,0.016,318.0,0.07,0.06,2.1705600000000004e-08,0.182,1281167,0.0,0.0,0.0,160.0,0.9053333333333333,0.828,0.0,1.7333333333333334,1281167,0.0,0.0,0.0,154.0,0.584,0.4066666666666667,0.0,0.9906666666666666,1281167,0.0,0.0,0.0,161.0,0.8603174603174604,0.6047619047619047,0.0,1.4650793650793652,1281167
robust_convnext_tiny,"convnext_t,rob-sup,in1k",TRADES_v2,supervised (robust),fully convolutional,medium,FFT (50 epochs),1978.0,0,0,1.0,4.0,5.0,0.1399712833123924,6.071904761904762,0.307,0.698,0.8,378.0,0.948,0.861,0.13992498656639998,3.614,1281167,0.003,0.007,0.016,322.0,0.09733333333333333,0.069,2.256576e-09,0.19233333333333336,1281167,0.018,0.018,0.016,280.0,0.016,0.018,1.4929919999999996e-09,0.08600000000000001,1281167,0.001,0.048,0.086,307.0,0.324,0.268,3.5844249600000003e-07,0.7270000000000001,1281167,0.01,0.022,0.029333333333333333,360.0,0.13333333333333333,0.096,8.260266666666665e-08,0.29066666666666663,1281167,0.01904761904761905,0.08571428571428572,0.13968253968253969,331.0,0.5555555555555556,0.3619047619047619,4.585195126173423e-05,1.161904761904762,1281167
convnext_base.fb_in22k,"convnext_b,sup,in22k",TRADES_v2,supervised,fully convolutional,large,FFT (50 epochs),898.0,0,0,57.0,19.0,6.0,0.0005861799216,5.775333333333333,0.202,0.215,0.206,278.0,0.273,0.24,0.0005861799216,1.136,14197122,0.0,0.0,0.0,163.0,0.424,0.398,0.0,0.8220000000000001,14197122,0.0,0.0,0.0,163.0,0.988,0.97,0.0,1.958,14197122,0.0,0.0,0.0,153.0,0.856,0.791,0.0,1.647,14197122,0.0,0.0,0.0,130.0,0.072,0.057,0.0,0.129,14197122,0.0,0.0,0.0,11.0,0.047619047619047616,0.03571428571428571,0.0,0.08333333333333333,14197122
eva02_base_patch14_224.mim_in22k,"eva02_b,mim,ink22k",TRADES_v2,self-supervised,fully attention,large,FFT (50 epochs),1270.0,0,0,21.0,24.0,7.0,0.00010045314180266668,5.7492857142857146,0.08533333333333333,0.08,0.021,246.0,0.902,0.7746666666666666,0.00010017270442666667,1.863,14197122,0.001,0.0,0.0,190.0,0.122,0.104,0.0,0.22699999999999998,14197122,0.004,0.006,0.0013333333333333333,149.0,0.0013333333333333333,0.003,1.28e-13,0.015666666666666666,14197122,0.006,0.026,0.004,278.0,0.728,0.6173333333333333,2.8043724799999996e-07,1.3813333333333333,14197122,0.001,0.003,0.0,217.0,0.578,0.466,0.0,1.048,14197122,0.002380952380952381,0.0,0.0,190.0,0.6952380952380952,0.5166666666666667,0.0,1.2142857142857144,14197122
mobilenetv3_large_100.ra_in1k,"mobilenet_v3,sup,in1k",TRADES_v2,supervised,fully convolutional,small,FFT (50 epochs),1030.0,0,0,41.0,21.0,8.0,0.000173872642944,5.7153809523809525,0.36933333333333335,0.112,0.009,256.0,0.781,0.598,0.000173872642944,1.8693333333333335,1281167,0.0,0.0,0.0,147.0,0.098,0.079,0.0,0.177,1281167,0.0,0.0,0.0,155.0,0.572,0.398,0.0,0.97,1281167,0.005,0.0,0.0,176.0,0.74,0.483,0.0,1.228,1281167,0.0,0.0,0.0,67.0,0.006666666666666667,0.012,0.0,0.018666666666666668,1281167,0.0880952380952381,0.0,0.0,229.0,0.8928571428571429,0.4714285714285714,0.0,1.4523809523809526,1281167
swin_tiny_patch4_window7_224.ms_in1k,"swin_t,sup,in1k",TRADES_v2,supervised,fully attention,medium,FFT (50 epochs),1157.0,0,0,30.0,16.0,9.0,0.0034390686193920003,5.6828095238095235,0.342,0.152,0.096,315.0,0.902,0.764,0.0034390684753920005,2.2560000000000002,1281167,0.01,0.01,0.012,253.0,0.012,0.01,1.44e-10,0.054000000000000006,1281167,0.0,0.0,0.0,161.0,0.749,0.62,0.0,1.369,1281167,0.0026666666666666666,0.0,0.0,182.0,0.772,0.6653333333333333,0.0,1.44,1281167,0.0,0.0,0.0,122.0,0.044,0.029333333333333333,0.0,0.07333333333333333,1281167,0.0,0.0,0.0,124.0,0.2833333333333333,0.20714285714285716,0.0,0.4904761904761905,1281167
