dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-convnext_base_w-laion2B-s13B-b82K,CLASSIC_AT,,,0.767,0.891,,,2,,0.082,,0.172,0.342,,,2,,0.446,,0.475,0.728,,,2,,0.177,,0.188,0.432,,,2,,0.117,,0.405,0.659,,,2,,0.6904761904761905,,0.7571428571428571,0.9452380952380952,,,2,
CLIP-convnext_base_w-laion2B-s13B-b82K,TRADES_v2,,,0.803,0.941,,,2,,0.04,,0.46,0.739,,,2,,,,0.597,0.864,,,2,,0.102,,0.445,0.825,,,2,,0.096,,0.687,0.889,,,2,,0.7492063492063492,,0.8,0.9523809523809523,,,2,
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,CLASSIC_AT,,,0.736,0.884,,,2,,0.038,,0.072,0.188,,,2,,,,0.43866666666666665,0.7066666666666667,,,2,,0.15466666666666667,,0.162,0.447,,,2,,0.066,,0.364,0.6306666666666667,,,2,,0.7333333333333333,,0.7595238095238095,0.9380952380952381,,,2,
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,TRADES_v2,,,0.811,0.941,,,2,,0.046,,0.444,0.717,,,2,,0.444,,0.624,0.88,,,2,,0.104,,0.429,0.814,,,2,,0.096,,0.686,0.87,,,2,,0.5190476190476191,,0.19365079365079366,0.9555555555555556,,,2,
coatnet_2_rw_224.sw_in12k,CLASSIC_AT,,,,,,,2,,0.002,0.048,0.118,0.314,0.227,8.074371840000001e-07,2,0.709,,,,,,,2,,,,,,,,2,,,,,,,,2,,0.6095238095238096,0.6761904761904762,0.6095238095238096,0.8666666666666667,0.6952380952380952,0.1513686904804754,2,3.4571428571428573
coatnet_2_rw_224.sw_in12k,TRADES_v2,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,0.7928571428571428,0.8666666666666667,0.7404761904761905,0.9595238095238096,0.861904761904762,0.4207975192820893,2,4.2214285714285715
coatnet_2_rw_224.sw_in12k_ft_in1k,CLASSIC_AT,,,,,,,2,,0.004,0.031,0.142,0.335,0.25,1.47467e-06,2,0.762,0.17,0.156,0.098,0.349,0.28,0.00025397037120000006,2,1.053,,,,,,,2,,,,,,,,2,,0.65,0.8142857142857143,0.7071428571428572,0.9285714285714286,0.7833333333333333,0.27224458819241987,2,3.8833333333333333
coatnet_2_rw_224.sw_in12k_ft_in1k,TRADES_v2,,,,,,,2,,0.048,,0.322,0.614,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,0.819047619047619,0.8952380952380953,0.8023809523809524,0.9714285714285714,0.8571428571428571,0.4898830355076919,2,4.345238095238095
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,CLASSIC_AT,,,0.787,0.914,,,2,,0.034,0.05,0.036,0.084,0.098,5.037984e-07,2,0.302,0.009,0.009,0.009,0.009,0.009,5.904899999999997e-11,2,0.045,0.173,0.209,0.152,0.418,0.316,0.0007259376840319998,2,1.268,0.091,,0.267,0.504,,,2,,,,,,,,2,
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,TRADES_v2,,,0.808,0.931,,,2,,0.05466666666666667,0.275,0.374,0.631,0.54,0.0019157992920000005,2,1.8746666666666665,0.409,0.664,0.604,0.86,0.779,0.10989153376576,2,3.316,0.059,0.043,0.015,0.192,0.169,1.2348086399999998e-06,2,0.478,0.16,0.494,0.5493333333333333,0.78,0.669,0.0226570626048,2,2.6523333333333334,0.4166666666666667,0.4158730158730159,0.2761904761904762,0.569047619047619,0.42142857142857143,0.011477063526342762,2,2.0992063492063493
convnext_base.fb_in1k,CLASSIC_AT,,,0.804,0.944,,,2,,0.086,,0.269,0.555,,,2,,,,0.481,0.77,,,2,,0.252,,0.404,0.822,,,2,,0.20133333333333334,,0.29333333333333333,0.636,,,2,,0.0,,0.0,0.48095238095238096,,,2,
convnext_base.fb_in1k,TRADES_v2,,,0.816,0.952,,,2,,0.095,,0.305,0.649,,,2,,,,0.47333333333333333,0.8106666666666666,,,2,,0.248,,0.472,0.852,,,2,,0.126,,0.411,0.745,,,2,,0.10238095238095238,,0.0,0.9523809523809523,,,2,
convnext_base.fb_in22k,CLASSIC_AT,,,0.8346666666666667,0.9613333333333334,,,2,,0.17,,0.356,0.66,,,2,,,,0.668,0.908,,,2,,0.26666666666666666,,0.4,0.799,,,2,,0.183,,0.4186666666666667,0.7186666666666667,,,2,,0.1595238095238095,,0.08571428571428572,0.21904761904761905,,,2,
convnext_base.fb_in22k,TRADES_v2,,,,,,,2,,0.133,,0.37,0.663,,,2,,,,0.686,0.906,,,2,,0.236,,0.439,0.82,,,2,,0.17333333333333334,,0.449,0.742,,,2,,,,0.8,0.9666666666666667,,,2,
convnext_base.fb_in22k_ft_in1k,CLASSIC_AT,,,0.8186666666666667,0.9586666666666667,,,2,,0.14,0.316,0.327,0.599,0.528,0.004575342562560001,2,1.9100000000000001,,,0.6346666666666667,0.8893333333333333,,,2,,0.259,0.457,0.409,0.802,0.656,0.025469327614304003,2,2.583,0.15866666666666668,,0.316,0.6093333333333333,,,2,,0.8,0.8920634920634921,0.7880952380952381,0.9761904761904762,0.8666666666666667,0.4758292289049659,2,4.323015873015873
convnext_base.fb_in22k_ft_in1k,TRADES_v2,,,0.834,0.954,,,2,,0.11,0.352,0.379,0.66,0.579,0.0056078586432,2,2.08,,,0.6706666666666666,0.9,,,2,,0.25333333333333335,0.492,0.424,0.819,0.7013333333333334,0.030355100805119998,2,2.6896666666666667,0.169,0.395,0.393,0.726,0.62,0.011808769915800002,2,2.303,0.0,0.0,0.0,0.9523809523809523,0.8063492063492064,0.0,2,1.7587301587301587
eva02_base_patch14_224.mim_in22k,CLASSIC_AT,,,,,,,2,,0.024,0.06266666666666666,0.068,0.172,0.153,2.6913899519999997e-06,2,0.4796666666666667,0.422,,0.512,0.773,,,2,,0.103,0.13,0.07733333333333334,0.28,0.255,7.393422400000001e-05,2,0.8453333333333334,0.036,0.09333333333333334,0.077,0.222,0.18,1.03384512e-05,2,0.6083333333333333,0.7428571428571429,0.8698412698412699,0.7595238095238095,0.95,0.7968253968253968,0.37151254069377815,2,4.119047619047619
