dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coatnet_0_rw_224.sw_in1k,CLASSIC_AT,0.134,0.131,0.119,0.135,0.128,3.609664128e-05,1,0.647,0.009333333333333334,0.009333333333333334,0.011,0.011,0.011,1.159448888888889e-10,1,0.051666666666666666,0.003,0.003,0.003,0.003,0.003,2.43e-13,1,0.015,0.0,0.0,0.0,0.028,0.02266666666666667,0.0,1,0.050666666666666665,0.0,0.0,0.0,0.001,0.004,0.0,1,0.005,,,,,,,1,
coatnet_0_rw_224.sw_in1k,TRADES_v2,0.0,0.0,0.0,0.31,0.19,0.0,1,0.5,0.012,0.016,0.01,0.01,0.01,1.9200000000000003e-10,1,0.058,0.002,0.0,0.0,0.008,0.011,0.0,1,0.020999999999999998,0.004,0.0,0.0,0.904,0.774,0.0,1,1.682,0.0,0.0,0.0,0.042,0.028,0.0,1,0.07,,,,,,,1,
convnext_tiny.fb_in1k,CLASSIC_AT,0.092,0.092,0.09733333333333333,0.09733333333333333,0.084,6.735628629333333e-06,1,0.4626666666666666,0.01,0.01,0.01,0.01,0.01,1.0000000000000002e-10,1,0.05,0.0,0.0,0.0,0.048,0.042,0.0,1,0.09,,,,,,,1,,0.0,0.0,0.0,0.053,0.04133333333333333,0.0,1,0.09433333333333332,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.05238095238095238,2.693371197235327e-07,1,0.24285714285714285
convnext_tiny.fb_in1k,TRADES_v2,0.0,0.0,0.0,0.945,0.838,0.0,1,1.783,0.0,0.0,0.0,0.052,0.051,0.0,1,0.103,0.0,0.0,0.0,0.5933333333333334,0.478,0.0,1,1.0713333333333335,0.001,0.0,0.0,0.929,0.868,0.0,1,1.798,,,,,,,1,,0.0,0.0,0.0,0.41904761904761906,0.30714285714285716,0.0,1,0.7261904761904763
convnext_tiny.fb_in22k,CLASSIC_AT,,,,,,,1,,0.01,0.01,0.01,0.01,0.010666666666666666,1.0666666666666669e-10,1,0.050666666666666665,0.06,0.032,0.013333333333333334,0.164,0.133,5.583872000000002e-07,1,0.4023333333333333,,,,,,,1,,,,,,,,1,,,,,,,,1,
convnext_tiny.fb_in22k,TRADES_v2,0.0,0.0,0.0,0.347,0.24,0.0,1,0.587,0.0,0.0,0.0,0.017333333333333333,0.016,0.0,1,0.03333333333333333,,,,,,,1,,0.027,0.04,0.022,0.022,0.022,1.1499839999999997e-08,1,0.13299999999999998,0.0,0.0,0.0,0.003,0.005,0.0,1,0.008,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,2.448519270213934e-07,1,0.23809523809523808
convnext_tiny.fb_in22k_ft_in1k,CLASSIC_AT,0.693,0.674,0.543,0.823,0.727,0.151749478341846,1,3.46,0.012,0.009333333333333334,0.01,0.01,0.01,1.1200000000000001e-10,1,0.051333333333333335,0.0,0.0,0.0,0.018,0.024,0.0,1,0.041999999999999996,0.0,0.0,0.0,0.048,0.047,0.0,1,0.095,0.0,0.0,0.0,0.0013333333333333333,0.006,0.0,1,0.007333333333333333,,,,,,,1,
convnext_tiny.fb_in22k_ft_in1k,TRADES_v2,0.01,0.01,0.01,0.01,0.01,1.0000000000000002e-10,1,0.05,0.0,0.0,0.0,0.009333333333333334,0.008,0.0,1,0.017333333333333333,0.0,0.0,0.0,0.151,0.11066666666666666,0.0,1,0.26166666666666666,0.032,0.021,0.019,0.022,0.021,5.898816e-09,1,0.115,0.004,0.0,0.0,0.118,0.089,0.0,1,0.211,0.047619047619047616,0.047619047619047616,0.05238095238095238,0.05238095238095238,0.047619047619047616,2.96270831695886e-07,1,0.24761904761904763
deit_small_patch16_224.fb_in1k,CLASSIC_AT,0.548,0.538,0.3546666666666667,0.7866666666666666,0.67,0.055112328240355564,1,2.897333333333333,0.012,0.01,0.01,0.01,0.01,1.2000000000000003e-10,1,0.052,0.011,0.01,0.001,0.02,0.019,4.180000000000001e-11,1,0.061,0.032,0.03,0.013333333333333334,0.029333333333333333,0.03333333333333333,1.2515555555555556e-08,1,0.13799999999999998,0.004,0.002,0.0,0.004,0.006,0.0,1,0.016,0.09285714285714286,0.06428571428571428,0.009523809523809525,0.3119047619047619,0.26666666666666666,4.7285853116756906e-06,1,0.7452380952380953
deit_small_patch16_224.fb_in1k,TRADES_v2,0.42133333333333334,0.375,0.185,0.724,0.5213333333333333,0.011032727093333333,1,2.2266666666666666,0.0,0.0,0.0,0.061,0.051,0.0,1,0.11199999999999999,0.0,0.0,0.0,0.14,0.112,0.0,1,0.252,0.0,0.0,0.0,0.895,0.803,0.0,1,1.698,0.002,0.002,0.0,0.004,0.007,0.0,1,0.015,0.0,0.0,0.0,0.6309523809523809,0.45714285714285713,0.0,1,1.088095238095238
eva02_tiny_patch14_224.mim_in22k,CLASSIC_AT,0.134,0.14,0.134,0.144,0.136,4.9231042560000016e-05,1,0.6880000000000001,0.010666666666666666,0.01,0.010666666666666666,0.010666666666666666,0.01,1.2136296296296296e-10,1,0.052,0.0,0.0,0.0,0.008,0.011,0.0,1,0.019,0.016,0.023,0.022,0.031,0.027,6.7763519999999995e-09,1,0.119,0.008,0.008,0.008,0.008,0.008,3.276800000000001e-11,1,0.04,0.10476190476190476,0.10476190476190476,0.09047619047619047,0.12380952380952381,0.10714285714285714,1.3172201177199094e-05,1,0.530952380952381
eva02_tiny_patch14_224.mim_in22k,TRADES_v2,0.13066666666666665,0.135,0.129,0.148,0.12933333333333333,4.355725247999999e-05,1,0.6719999999999999,0.003,0.0,0.0,0.03,0.024,0.0,1,0.057,0.0,0.0,0.0,0.014,0.008,0.0,1,0.022,0.006666666666666667,0.005333333333333333,0.0,0.03,0.032,0.0,1,0.07400000000000001,0.008,0.008,0.008,0.008,0.008,3.276800000000001e-11,1,0.04,0.07142857142857142,0.08095238095238096,0.0761904761904762,0.08571428571428572,0.08095238095238096,3.0569273384766934e-06,1,0.3952380952380952
