dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-convnext_base_w-laion2B-s13B-b82K,CLASSIC_AT,0.099,0.0,0.0,0.3,0.286,0.0,2,0.685,0.0,0.0,0.0,0.20133333333333334,0.162,0.0,2,0.36333333333333334,0.0,0.0,0.0,0.436,0.39466666666666667,0.0,2,0.8306666666666667,0.0,0.0,0.0,0.504,0.364,0.0,2,0.868,0.002,0.0,0.0,0.044,0.052,0.0,2,0.098,0.0,0.0,0.0,0.6761904761904762,0.4357142857142857,0.0,2,1.111904761904762
CLIP-convnext_base_w-laion2B-s13B-b82K,TRADES_v2,0.04,0.0,0.0,0.938,0.864,0.0,2,1.842,0.0,0.0,0.0,0.36666666666666664,0.34,0.0,2,0.7066666666666667,0.0,0.0,0.0,0.7346666666666667,0.6186666666666667,0.0,2,1.3533333333333335,0.0,0.0,0.0,0.868,0.7413333333333333,0.0,2,1.6093333333333333,0.0,0.0,0.0,0.897,0.835,0.0,2,1.732,0.0,0.0,0.0,0.1738095238095238,0.1261904761904762,0.0,2,0.3
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,CLASSIC_AT,0.067,0.0,0.0,0.2866666666666667,0.26,0.0,2,0.6136666666666667,0.0,0.0,0.0,0.207,0.167,0.0,2,0.374,0.0,0.0,0.0,0.412,0.344,0.0,2,0.756,0.0,0.0,0.0,0.5093333333333333,0.424,0.0,2,0.9333333333333333,0.004,0.0,0.0,0.041,0.037333333333333336,0.0,2,0.08233333333333334,0.0,0.0,0.0,0.050793650793650794,0.047619047619047616,0.0,2,0.09841269841269841
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,TRADES_v2,0.0,0.0,0.0,0.946,0.812,0.0,2,1.758,0.0,0.0,0.0,0.416,0.369,0.0,2,0.7849999999999999,0.0,0.0,0.0,0.72,0.5786666666666667,0.0,2,1.2986666666666666,0.0,0.0,0.0,0.8493333333333334,0.718,0.0,2,1.5673333333333335,0.0,0.0,0.0,0.891,0.7893333333333333,0.0,2,1.6803333333333335,0.0,0.0,0.0,0.1619047619047619,0.1,0.0,2,0.2619047619047619
coatnet_2_rw_224.sw_in12k,CLASSIC_AT,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,
coatnet_2_rw_224.sw_in12k,TRADES_v2,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,
coatnet_2_rw_224.sw_in12k_ft_in1k,CLASSIC_AT,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,
coatnet_2_rw_224.sw_in12k_ft_in1k,TRADES_v2,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,CLASSIC_AT,0.014666666666666666,,0.0,0.8666666666666667,,,2,,0.0,,0.0,0.188,,,2,,0.0,,0.0,0.5413333333333333,,,2,,0.0,,0.0,0.81,,,2,,0.0,,0.0,0.356,,,2,,0.0,,0.0,0.10952380952380952,,,2,
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,TRADES_v2,0.0026666666666666666,,0.0,0.926,,,2,,0.0,,0.0,0.293,,,2,,0.0,,0.0,0.565,,,2,,0.0,,0.0,0.7773333333333333,,,2,,0.0,,0.0,0.714,,,2,,0.0,,0.0,0.3761904761904762,,,2,
convnext_base.fb_in1k,CLASSIC_AT,0.018,0.0,0.0,0.277,0.24,0.0,2,0.535,0.0,0.0,0.0,0.043,0.04,0.0,2,0.08299999999999999,0.0,0.0,0.0,0.10533333333333333,0.096,0.0,2,0.20133333333333334,0.0,0.0,0.0,0.616,0.56,0.0,2,1.1760000000000002,0.0,0.0,0.0,0.008,0.009333333333333334,0.0,2,0.017333333333333333,0.0,0.0,0.0,0.48253968253968255,,0.0,2,0.48253968253968255
convnext_base.fb_in1k,TRADES_v2,0.0,0.0,0.0,0.879,0.8,0.0,2,1.679,0.0,0.0,0.0,0.113,0.099,0.0,2,0.21200000000000002,0.0,0.0,0.0,0.37,0.299,0.0,2,0.669,0.0,0.0,0.0,0.876,0.83,0.0,2,1.706,0.0,0.0,0.0,0.276,0.18,0.0,2,0.456,0.0,0.0,0.0,0.5333333333333333,,0.0,2,0.5333333333333333
convnext_base.fb_in22k,CLASSIC_AT,0.017,0.0,0.0,0.7266666666666667,0.701,0.0,2,1.4446666666666665,0.0,0.0,0.0,0.158,0.144,0.0,2,0.302,0.0,0.0,0.0,0.686,0.65,0.0,2,1.336,0.0,0.0,0.0,0.744,0.66,0.0,2,1.404,0.0,0.0,0.0,0.07866666666666666,0.06666666666666667,0.0,2,0.14533333333333331,0.0,0.0,0.0,0.6666666666666666,,0.0,2,0.6666666666666666
convnext_base.fb_in22k,TRADES_v2,0.0,0.0,0.0,0.965,0.919,0.0,2,1.884,0.0,0.0,0.0,0.2733333333333333,0.218,0.0,2,0.4913333333333333,0.0,0.0,0.0,0.958,0.906,0.0,2,1.8639999999999999,0.0,0.0,0.0,0.91,0.86,0.0,2,1.77,0.0,0.0,0.0,0.38666666666666666,0.32,0.0,2,0.7066666666666667,0.0,0.0,0.0,0.19047619047619047,,0.0,2,0.19047619047619047
convnext_base.fb_in22k_ft_in1k,CLASSIC_AT,0.010666666666666666,,0.0,0.7973333333333333,,,2,,0.0,,0.0,0.112,,,2,,0.0,,0.0,0.48,,,2,,0.0,,0.0,0.772,,,2,,0.0,,0.0,0.154,,,2,,0.0,,0.0,0.05714285714285714,,,2,
convnext_base.fb_in22k_ft_in1k,TRADES_v2,0.002,,0.0,0.968,,,2,,0.0,,0.0,0.268,,,2,,0.0,,0.0,0.977,,,2,,0.0,,0.0,0.9133333333333333,,,2,,0.0,,0.0,0.43,,,2,,0.0,,0.0,0.5952380952380952,,,2,
eva02_base_patch14_224.mim_in22k,CLASSIC_AT,0.121,,0.0,0.698,,,2,,0.002,,0.0,0.203,,,2,,0.0,,0.0,0.504,,,2,,0.0,,0.0,0.537,,,2,,0.0026666666666666666,,0.0,0.246,,,2,,0.0,,0.0,0.5333333333333333,,,2,
