,backbone,dataset,loss_function,restart_from,nb_trials,ft_strategy
71,coatnet_2_rw_224.sw_in12k_ft_in1k,stanford_cars,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
72,coatnet_2_rw_224.sw_in12k,stanford_cars,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
79,coat_tiny.in1k,stanford_cars,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
111,coatnet_2_rw_224.sw_in12k_ft_in1k,caltech101,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
112,coatnet_2_rw_224.sw_in12k,caltech101,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
119,coat_tiny.in1k,caltech101,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
151,coatnet_2_rw_224.sw_in12k_ft_in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
152,coatnet_2_rw_224.sw_in12k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
159,coat_tiny.in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
232,coatnet_2_rw_224.sw_in12k,oxford-iiit-pet,TRADES_v2,job1_hpo.sh,1,FFT (50 epochs)
359,coat_tiny.in1k,caltech101,CLASSIC_AT,job1_hpo.sh,1,FFT (50 epochs)
391,coatnet_2_rw_224.sw_in12k_ft_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job1_hpo.sh,1,FFT (50 epochs)
