dataset,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,,,,,,borda,nan_geom_cnt,nan_sum_cnt,rank_borda,rank_geom,rank_sum,score_geom,score_sum,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data
backbone,backbone_name,loss_function,pre_training_strategy,model_type,model_size,ft_strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgenext_small.usi_in1k,"edgenetx_s,sup,in1k",TRADES_v2,supervised,hybrid,small,FFT (50 epochs),372.0,0,0,1.0,1.0,1.0,0.4955377393328147,14.662857142857144,0.794,0.811,0.7426666666666667,61.0,0.916,0.809,0.35438822518996277,4.072666666666667,1281167,0.036,0.141,0.118,66.0,0.553,0.469,0.00015534654357599997,1.3170000000000002,1281167,0.191,0.288,0.104,65.0,0.768,0.6,0.0026361593855999997,1.951,1281167,0.16,0.3626666666666667,0.264,64.0,0.784,0.638,0.007662461255680002,2.208666666666667,1281167,0.073,0.267,0.216,62.0,0.6133333333333333,0.468,0.00120845447424,1.6373333333333333,1281167,0.7333333333333333,0.7023809523809523,0.3619047619047619,54.0,0.9380952380952381,0.7404761904761905,0.1294870924837559,3.4761904761904763,1281167
coat_tiny.in1k,"coat_t,sup,in1k",TRADES_v2,supervised,hybrid,small,FFT (50 epochs),325.0,1,1,2.0,7.0,2.0,0.2032884368220592,11.764015873015872,,,0.763,,0.912,,,,1281167,0.021333333333333333,0.16533333333333333,0.204,68.0,0.572,0.487,0.00020043534062933328,1.4496666666666664,1281167,0.335,0.49,0.343,68.0,0.766,0.624,0.026912148244800004,2.558,1281167,0.1,0.381,0.349,67.0,0.822,0.659,0.0072029041362000005,2.311,1281167,0.039,0.283,0.309,64.0,0.684,0.5573333333333333,0.001300111626528,1.8723333333333332,1281167,0.6253968253968254,0.7047619047619048,0.5238095238095238,58.0,0.9714285714285714,0.7476190476190476,0.16767283747390185,3.573015873015873,1281167
deit_tiny_patch16_224.fb_in1k,"deit_t,sup,in1k",TRADES_v2,supervised,fully attention,small,FFT (50 epochs),256.0,0,0,4.0,3.0,3.0,0.32517728620170677,11.266238095238098,0.656,0.731,0.657,44.0,0.867,0.745,0.20349884850408,3.656,1281167,0.007,0.065,0.11,54.0,0.478,0.387,9.258549299999998e-06,1.0470000000000002,1281167,0.0,0.0,0.0,16.0,0.302,0.202,0.0,0.504,1281167,0.018,0.162,0.158,47.0,0.681,0.531,0.000166604312808,1.5500000000000003,1281167,0.003,0.099,0.124,44.0,0.5293333333333333,0.392,7.641760895999999e-06,1.1473333333333333,1281167,0.4785714285714286,0.7095238095238096,0.5619047619047619,51.0,0.919047619047619,0.6928571428571428,0.1214949330746228,3.3619047619047624,1281167
regnetx_004.pycls_in1k,"regnetx_004,sup,in1k",CLASSIC_AT,supervised,fully convolutional,small,FFT (50 epochs),252.0,0,0,5.0,2.0,4.0,0.4377868472002056,10.845761904761906,0.568,0.66,0.578,40.0,0.884,0.749,0.14346771863424,3.439,1281167,0.008,0.02,0.02,42.0,0.266,0.23,1.9577600000000002e-07,0.544,1281167,0.064,0.004,0.0,37.0,0.581,0.478,0.0,1.127,1281167,0.016,0.032,0.018666666666666668,32.0,0.504,0.37,1.7822515200000004e-06,0.9406666666666668,1281167,0.003,0.067,0.064,36.0,0.415,0.308,1.64427648e-06,0.857,1281167,0.6928571428571428,0.8,0.7365079365079366,65.0,0.9492063492063492,0.7595238095238095,0.2943155062619656,3.9380952380952383,1281167
regnetx_004.pycls_in1k,"regnetx_004,sup,in1k",TRADES_v2,supervised,fully convolutional,small,FFT (50 epochs),158.0,0,0,10.0,9.0,5.0,0.05730809488536,9.000444444444444,0.536,0.468,0.379,24.0,0.849,0.71,0.05730808438368,2.942,1281167,0.004,0.0,0.0,27.0,0.427,0.32133333333333336,0.0,0.7523333333333333,1281167,0.024,0.0,0.0,30.0,0.737,0.55,0.0,1.311,1281167,0.003,0.0,0.0,23.0,0.759,0.513,0.0,1.275,1281167,0.007,0.007,0.001,29.0,0.564,0.38,1.050168e-08,0.959,1281167,0.1619047619047619,0.011904761904761904,0.0,25.0,0.9238095238095239,0.6634920634920635,0.0,1.761111111111111,1281167
mobilenetv3_large_100.ra_in1k,"mobilenet_v3,sup,in1k",TRADES_v2,supervised,fully convolutional,small,FFT (50 epochs),178.0,0,0,7.0,10.0,6.0,0.038294192886143996,8.869428571428571,0.652,0.481,0.206,23.0,0.848,0.699,0.038294192886143996,2.886,1281167,0.008,0.0,0.0,29.0,0.332,0.277,0.0,0.617,1281167,0.044,0.0,0.0,34.0,0.767,0.588,0.0,1.399,1281167,0.028,0.0,0.0,31.0,0.816,0.527,0.0,1.371,1281167,0.053,0.008,0.0,31.0,0.486,0.328,0.0,0.875,1281167,0.21904761904761905,0.023809523809523808,0.0,30.0,0.9619047619047619,0.5166666666666667,0.0,1.7214285714285715,1281167
edgenext_small.usi_in1k,"edgenetx_s,sup,in1k",CLASSIC_AT,supervised,hybrid,small,FFT (50 epochs),277.0,1,1,3.0,5.0,7.0,0.2915783798727114,8.825714285714287,0.764,0.811,,,,0.801,,,1281167,0.019,0.034,0.024,41.0,0.086,0.081,1.08000864e-07,0.244,1281167,0.221,0.16,0.076,53.0,0.376,0.32,0.00032334315520000007,1.153,1281167,0.16533333333333333,0.339,0.258,60.0,0.734,0.58,0.00615607467648,2.0763333333333334,1281167,0.099,0.212,0.17733333333333334,59.0,0.54,0.405,0.0008139734064000002,1.4333333333333333,1281167,0.7976190476190477,0.8023809523809524,0.6309523809523809,64.0,0.9357142857142857,0.7523809523809524,0.2842848806337674,3.9190476190476193,1281167
mobilenetv3_large_100.ra_in1k,"mobilenet_v3,sup,in1k",CLASSIC_AT,supervised,fully convolutional,small,FFT (50 epochs),209.0,0,0,6.0,8.0,8.0,0.14110662738910348,8.747539682539681,0.724,0.646,0.48,36.0,0.867,0.72,0.14014058158079998,3.4369999999999994,1281167,0.02666666666666667,0.011,0.004,39.0,0.22,0.21,5.4208000000000005e-08,0.4716666666666667,1281167,0.077,0.0,0.0,31.0,0.569,0.42,0.0,1.0659999999999998,1281167,0.102,0.028,0.003,34.0,0.498,0.373,1.591540272e-06,1.004,1281167,0.076,0.058,0.023,40.0,0.382,0.264,1.0224373632e-05,0.803,1281167,0.43333333333333335,0.17857142857142858,0.030952380952380953,29.0,0.8595238095238096,0.4634920634920635,0.0009541756863995285,1.965873015873016,1281167
deit_tiny_patch16_224.fb_in1k,"deit_t,sup,in1k",CLASSIC_AT,supervised,fully attention,small,FFT (50 epochs),167.0,0,0,9.0,6.0,9.0,0.2806226754827456,7.61152380952381,0.646,0.721,0.622,38.0,0.854,0.735,0.18184584285587999,3.578,1281167,0.0,0.015,0.05333333333333334,34.0,0.20533333333333334,0.166,0.0,0.43966666666666665,1281167,0.0,0.0,0.0,5.0,0.008,0.008,0.0,0.016,1281167,0.029,0.029,0.015,19.0,0.046,0.04,2.32116e-08,0.159,1281167,0.015,0.02666666666666667,0.024,26.0,0.08266666666666667,0.061,4.84096e-08,0.20933333333333332,1281167,0.49523809523809526,0.6595238095238095,0.5476190476190477,45.0,0.8785714285714286,0.6285714285714286,0.09877676100566564,3.2095238095238097,1281167
