,backbone,dataset,loss_function,restart_from
14,vit_base_patch16_clip_224.laion2b,uc-merced-land-use-dataset,TRADES_v2,job1_hpo.sh
16,robust_convnext_tiny,uc-merced-land-use-dataset,TRADES_v2,job1_hpo.sh
30,coatnet_0_rw_224.sw_in1k,uc-merced-land-use-dataset,TRADES_v2,job1_hpo.sh
31,coatnet_2_rw_224.sw_in12k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,job1_hpo.sh
32,coatnet_2_rw_224.sw_in12k,uc-merced-land-use-dataset,TRADES_v2,job1_hpo.sh
70,coatnet_0_rw_224.sw_in1k,stanford_cars,TRADES_v2,job1_hpo.sh
71,coatnet_2_rw_224.sw_in12k_ft_in1k,stanford_cars,TRADES_v2,job1_hpo.sh
72,coatnet_2_rw_224.sw_in12k,stanford_cars,TRADES_v2,job1_hpo.sh
104,eva02_tiny_patch14_224.mim_in22k,caltech101,TRADES_v2,job1_hpo.sh
110,coatnet_0_rw_224.sw_in1k,caltech101,TRADES_v2,job1_hpo.sh
111,coatnet_2_rw_224.sw_in12k_ft_in1k,caltech101,TRADES_v2,job1_hpo.sh
112,coatnet_2_rw_224.sw_in12k,caltech101,TRADES_v2,job1_hpo.sh
150,coatnet_0_rw_224.sw_in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh
151,coatnet_2_rw_224.sw_in12k_ft_in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh
152,coatnet_2_rw_224.sw_in12k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh
190,coatnet_0_rw_224.sw_in1k,flowers-102,TRADES_v2,job1_hpo.sh
191,coatnet_2_rw_224.sw_in12k_ft_in1k,flowers-102,TRADES_v2,job1_hpo.sh
192,coatnet_2_rw_224.sw_in12k,flowers-102,TRADES_v2,job1_hpo.sh
230,coatnet_0_rw_224.sw_in1k,oxford-iiit-pet,TRADES_v2,job1_hpo.sh
231,coatnet_2_rw_224.sw_in12k_ft_in1k,oxford-iiit-pet,TRADES_v2,job1_hpo.sh
232,coatnet_2_rw_224.sw_in12k,oxford-iiit-pet,TRADES_v2,job1_hpo.sh
252,vit_base_patch16_224.augreg_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job1_hpo.sh
255,convnext_tiny.fb_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job1_hpo.sh
270,coatnet_0_rw_224.sw_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job1_hpo.sh
271,coatnet_2_rw_224.sw_in12k_ft_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job1_hpo.sh
272,coatnet_2_rw_224.sw_in12k,uc-merced-land-use-dataset,CLASSIC_AT,job1_hpo.sh
310,coatnet_0_rw_224.sw_in1k,stanford_cars,CLASSIC_AT,job1_hpo.sh
311,coatnet_2_rw_224.sw_in12k_ft_in1k,stanford_cars,CLASSIC_AT,job1_hpo.sh
312,coatnet_2_rw_224.sw_in12k,stanford_cars,CLASSIC_AT,job1_hpo.sh
350,coatnet_0_rw_224.sw_in1k,caltech101,CLASSIC_AT,job1_hpo.sh
351,coatnet_2_rw_224.sw_in12k_ft_in1k,caltech101,CLASSIC_AT,job1_hpo.sh
352,coatnet_2_rw_224.sw_in12k,caltech101,CLASSIC_AT,job1_hpo.sh
390,coatnet_0_rw_224.sw_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job1_hpo.sh
391,coatnet_2_rw_224.sw_in12k_ft_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job1_hpo.sh
392,coatnet_2_rw_224.sw_in12k,fgvc-aircraft-2013b,CLASSIC_AT,job1_hpo.sh
430,coatnet_0_rw_224.sw_in1k,flowers-102,CLASSIC_AT,job1_hpo.sh
431,coatnet_2_rw_224.sw_in12k_ft_in1k,flowers-102,CLASSIC_AT,job1_hpo.sh
432,coatnet_2_rw_224.sw_in12k,flowers-102,CLASSIC_AT,job1_hpo.sh
470,coatnet_0_rw_224.sw_in1k,oxford-iiit-pet,CLASSIC_AT,job1_hpo.sh
471,coatnet_2_rw_224.sw_in12k_ft_in1k,oxford-iiit-pet,CLASSIC_AT,job1_hpo.sh
472,coatnet_2_rw_224.sw_in12k,oxford-iiit-pet,CLASSIC_AT,job1_hpo.sh
