,backbone,dataset,loss_function,restart_from,model_size
30,coatnet_0_rw_224.sw_in1k,uc-merced-land-use-dataset,TRADES_v2,job1_hpo.sh,medium
71,coatnet_2_rw_224.sw_in12k_ft_in1k,stanford_cars,TRADES_v2,job1_hpo.sh,large
72,coatnet_2_rw_224.sw_in12k,stanford_cars,TRADES_v2,job1_hpo.sh,large
79,coat_tiny.in1k,stanford_cars,TRADES_v2,job1_hpo.sh,small
91,robust_convnext_base,caltech101,TRADES_v2,job1_hpo.sh,large
103,eva02_base_patch14_224.mim_in22k,caltech101,TRADES_v2,job1_hpo.sh,large
111,coatnet_2_rw_224.sw_in12k_ft_in1k,caltech101,TRADES_v2,job1_hpo.sh,large
112,coatnet_2_rw_224.sw_in12k,caltech101,TRADES_v2,job1_hpo.sh,large
119,coat_tiny.in1k,caltech101,TRADES_v2,job1_hpo.sh,small
152,coatnet_2_rw_224.sw_in12k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,large
159,coat_tiny.in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,small
191,coatnet_2_rw_224.sw_in12k_ft_in1k,flowers-102,TRADES_v2,job1_hpo.sh,large
192,coatnet_2_rw_224.sw_in12k,flowers-102,TRADES_v2,job1_hpo.sh,large
199,coat_tiny.in1k,flowers-102,TRADES_v2,job1_hpo.sh,small
231,coatnet_2_rw_224.sw_in12k_ft_in1k,oxford-iiit-pet,TRADES_v2,job1_hpo.sh,large
232,coatnet_2_rw_224.sw_in12k,oxford-iiit-pet,TRADES_v2,job1_hpo.sh,large
239,coat_tiny.in1k,oxford-iiit-pet,TRADES_v2,job1_hpo.sh,small
270,coatnet_0_rw_224.sw_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job1_hpo.sh,medium
311,coatnet_2_rw_224.sw_in12k_ft_in1k,stanford_cars,CLASSIC_AT,job1_hpo.sh,large
312,coatnet_2_rw_224.sw_in12k,stanford_cars,CLASSIC_AT,job1_hpo.sh,large
343,eva02_base_patch14_224.mim_in22k,caltech101,CLASSIC_AT,job1_hpo.sh,large
351,coatnet_2_rw_224.sw_in12k_ft_in1k,caltech101,CLASSIC_AT,job1_hpo.sh,large
352,coatnet_2_rw_224.sw_in12k,caltech101,CLASSIC_AT,job1_hpo.sh,large
359,coat_tiny.in1k,caltech101,CLASSIC_AT,job1_hpo.sh,small
432,coatnet_2_rw_224.sw_in12k,flowers-102,CLASSIC_AT,job1_hpo.sh,large
471,coatnet_2_rw_224.sw_in12k_ft_in1k,oxford-iiit-pet,CLASSIC_AT,job1_hpo.sh,large
