backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,uc-merced-land-use-dataset
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,stanford_cars
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,caltech101
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,fgvc-aircraft-2013b
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,flowers-102
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,oxford-iiit-pet
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,uc-merced-land-use-dataset
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,stanford_cars
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,caltech101
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,fgvc-aircraft-2013b
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,flowers-102
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,oxford-iiit-pet
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),uc-merced-land-use-dataset
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),stanford_cars
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),caltech101
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),fgvc-aircraft-2013b
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),flowers-102
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),oxford-iiit-pet
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),uc-merced-land-use-dataset
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),stanford_cars
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),caltech101
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),fgvc-aircraft-2013b
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),flowers-102
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),oxford-iiit-pet
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),uc-merced-land-use-dataset
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,uc-merced-land-use-dataset
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),stanford_cars
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,stanford_cars
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),caltech101
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,caltech101
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),fgvc-aircraft-2013b
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,fgvc-aircraft-2013b
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),flowers-102
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,flowers-102
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),oxford-iiit-pet
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,oxford-iiit-pet
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),uc-merced-land-use-dataset
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,uc-merced-land-use-dataset
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),stanford_cars
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,stanford_cars
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),caltech101
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,caltech101
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),fgvc-aircraft-2013b
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,fgvc-aircraft-2013b
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),flowers-102
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,flowers-102
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),oxford-iiit-pet
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,oxford-iiit-pet
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,uc-merced-land-use-dataset
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,stanford_cars
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,caltech101
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,fgvc-aircraft-2013b
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,flowers-102
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,oxford-iiit-pet
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,uc-merced-land-use-dataset
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,stanford_cars
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,caltech101
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,fgvc-aircraft-2013b
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,flowers-102
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,oxford-iiit-pet
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),uc-merced-land-use-dataset
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),stanford_cars
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),caltech101
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),fgvc-aircraft-2013b
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),flowers-102
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),oxford-iiit-pet
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),uc-merced-land-use-dataset
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),stanford_cars
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),caltech101
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),fgvc-aircraft-2013b
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),flowers-102
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),oxford-iiit-pet
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,uc-merced-land-use-dataset
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,stanford_cars
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,caltech101
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,fgvc-aircraft-2013b
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,flowers-102
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,oxford-iiit-pet
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,uc-merced-land-use-dataset
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,stanford_cars
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,caltech101
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,fgvc-aircraft-2013b
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,flowers-102
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,oxford-iiit-pet
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,uc-merced-land-use-dataset
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,stanford_cars
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,caltech101
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,fgvc-aircraft-2013b
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,flowers-102
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,oxford-iiit-pet
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,uc-merced-land-use-dataset
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,stanford_cars
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,caltech101
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,fgvc-aircraft-2013b
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,flowers-102
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,oxford-iiit-pet
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),uc-merced-land-use-dataset
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),stanford_cars
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),caltech101
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),fgvc-aircraft-2013b
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),flowers-102
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),oxford-iiit-pet
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),uc-merced-land-use-dataset
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),stanford_cars
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),caltech101
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),fgvc-aircraft-2013b
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),flowers-102
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),oxford-iiit-pet
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),uc-merced-land-use-dataset
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),stanford_cars
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),caltech101
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),fgvc-aircraft-2013b
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),flowers-102
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),oxford-iiit-pet
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),uc-merced-land-use-dataset
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),stanford_cars
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),caltech101
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),fgvc-aircraft-2013b
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),flowers-102
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),oxford-iiit-pet
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,uc-merced-land-use-dataset
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,stanford_cars
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,caltech101
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,fgvc-aircraft-2013b
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,flowers-102
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,oxford-iiit-pet
