backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),uc-merced-land-use-dataset,0.9555555555555556,0.19365079365079366,0.5206349206349207,0.5190476190476191,0.7833333333333333
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),uc-merced-land-use-dataset,0.9523809523809523,0.8,0.888095238095238,0.7492063492063492,0.8476190476190476
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,uc-merced-land-use-dataset,0.765079365079365,0.0,0.0,0.0,0.4857142857142857
"resnet50,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),uc-merced-land-use-dataset,0.18571428571428572,0.009523809523809525,0.0,0.0,0.13015873015873017
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,uc-merced-land-use-dataset,0.5238095238095238,0.22380952380952382,0.29523809523809524,0.2357142857142857,0.3523809523809524
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset,0.9523809523809523,0.0,0.009523809523809525,0.10238095238095238,0.8571428571428571
"resnet50,sup,in1k",medium,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset,0.6404761904761904,0.0,0.0,0.0,0.4714285714285714
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),uc-merced-land-use-dataset,0.10714285714285714,0.0,0.0,0.0,0.07380952380952381
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,uc-merced-land-use-dataset,0.873015873015873,0.2698412698412698,0.0,0.0,0.6452380952380953
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,uc-merced-land-use-dataset,0.8285714285714286,0.2119047619047619,0.3682539682539683,0.12380952380952381,0.5428571428571428
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset,0.9666666666666667,0.8,0.9,0.8238095238095238,0.8634920634920635
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),uc-merced-land-use-dataset,0.9714285714285714,0.8253968253968254,0.8809523809523809,0.6642857142857143,0.861904761904762
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,uc-merced-land-use-dataset,0.9428571428571428,0.6349206349206349,0.7952380952380952,0.680952380952381,0.7904761904761904
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,uc-merced-land-use-dataset,0.6666666666666666,0.22857142857142856,0.23809523809523808,0.02857142857142857,0.44761904761904764
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),uc-merced-land-use-dataset,0.0880952380952381,0.05,0.030952380952380953,0.023809523809523808,0.08253968253968254
"convnext_t,sup,in1k",medium,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset,0.8952380952380953,0.580952380952381,0.7619047619047619,0.7015873015873015,0.7174603174603175
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),uc-merced-land-use-dataset,0.9595238095238096,0.8595238095238096,0.8357142857142857,0.5047619047619047,0.8222222222222222
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),uc-merced-land-use-dataset,0.18333333333333332,0.01904761904761905,0.023809523809523808,0.0,0.15
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,uc-merced-land-use-dataset,0.8833333333333333,0.5,0.669047619047619,0.5301587301587302,0.6761904761904762
"convnext_t,sup,in22k",medium,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset,0.9523809523809523,0.22857142857142856,0.4380952380952381,0.580952380952381,0.7928571428571428
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,uc-merced-land-use-dataset,0.9523809523809523,0.7333333333333333,0.8095238095238095,0.5857142857142857,0.7777777777777778
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),uc-merced-land-use-dataset,0.04285714285714286,0.0,0.0,0.0,0.09285714285714286
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),uc-merced-land-use-dataset,0.6063492063492063,0.17777777777777778,0.2785714285714286,0.25476190476190474,0.3619047619047619
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,uc-merced-land-use-dataset,0.9761904761904762,0.7619047619047619,0.8,0.07380952380952381,0.8142857142857143
"eva02_b,mim,ink22k",medium,fully attention,TRADES,self-supervised,uc-merced-land-use-dataset,0.42142857142857143,0.0,0.0,0.0,0.24047619047619048
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),uc-merced-land-use-dataset,0.9547619047619048,0.7214285714285714,0.8761904761904762,0.8547619047619047,0.8380952380952381
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,uc-merced-land-use-dataset,0.19523809523809524,0.0,0.0,0.0,0.11428571428571428
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,uc-merced-land-use-dataset,0.569047619047619,0.2761904761904762,0.4158730158730159,0.4166666666666667,0.42142857142857143
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),uc-merced-land-use-dataset,0.9523809523809523,0.0,0.0,0.0,0.8063492063492064
"convnext_t,sup,in22k-in1k",medium,fully convolutional,TRADES,supervised (multistep),uc-merced-land-use-dataset,0.9523809523809523,0.5119047619047619,0.7523809523809524,0.7841269841269841,0.8031746031746032
"coatnet_0,sup,in1k",medium,hybrid,TRADES,supervised,uc-merced-land-use-dataset,0.9547619047619048,0.7404761904761905,0.8444444444444444,0.7404761904761905,0.7555555555555555
"coatnet_2,sup,in12k-in1k",large,hybrid,TRADES,supervised (multistep),uc-merced-land-use-dataset,0.9714285714285714,0.8023809523809524,0.8952380952380953,0.819047619047619,0.8571428571428571
"coatnet_2,sup,in12k",large,hybrid,TRADES,supervised,uc-merced-land-use-dataset,0.9595238095238096,0.7404761904761905,0.8666666666666667,0.7928571428571428,0.861904761904762
"regnetx_004,sup,in1k",small,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset,0.9238095238095239,0.0,0.011904761904761904,0.1619047619047619,0.6634920634920635
"efficientnet_b0,sup,in1k",small,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset,0.4666666666666667,0.08095238095238096,0.09523809523809523,0.030952380952380953,0.319047619047619
