dataset,target,surrogate,perturbation,accuracy
caltech101,GPT-4o,CLIP B/16,l1@300,90.3
caltech101,GPT-4o,CLIP B/16,l1@75,90.8
caltech101,GPT-4o,CLIP B/16,l2@2,90.3
caltech101,GPT-4o,CLIP B/16,l2@8,87.7
caltech101,GPT-4o,CLIP B/16,linf@30,80.3
caltech101,GPT-4o,CLIP B/16,linf@8,89.8
caltech101,GPT-4o,CLIP H/14,l1@300,89.4
caltech101,GPT-4o,CLIP H/14,l1@75,90.1
caltech101,GPT-4o,CLIP H/14,l2@2,89.63
caltech101,GPT-4o,CLIP H/14,l2@8,85.99
caltech101,GPT-4o,CLIP H/14,linf@30,69.2
caltech101,GPT-4o,CLIP H/14,linf@8,89.2
caltech101,GPT-4o,MetaCLIP H/14,l1@300,89.7
caltech101,GPT-4o,MetaCLIP H/14,l1@75,90.6
caltech101,GPT-4o,MetaCLIP H/14,l2@2,90.4
caltech101,GPT-4o,MetaCLIP H/14,l2@8,87.8
caltech101,GPT-4o,MetaCLIP H/14,linf@30,76.0
caltech101,GPT-4o,MetaCLIP H/14,linf@8,88.4
caltech101,GPT-4o,SigLIP2 NaFlex,linf@30,90.6
caltech101,GPT-4o,SigLIP2 SO400M,linf@30,65.3
caltech101,GPT-4o,SigLIP2 SO400M,linf@8,88.35
caltech101,GPT-4o,SigLIP2 base,linf@30,79.3
caltech101,GPT-4o,SigLIP2 base,linf@8,89.2
caltech101,GPT-4o,n/a (clean),clean,90.6
caltech101,GPT-4o,n/a (common),sev@3,85.4
caltech101,Gemini Flash (no think),CLIP B/16,l1@300,91.9
caltech101,Gemini Flash (no think),CLIP B/16,l1@75,92.7
caltech101,Gemini Flash (no think),CLIP B/16,l2@2,93.5
caltech101,Gemini Flash (no think),CLIP B/16,l2@8,90.9
caltech101,Gemini Flash (no think),CLIP B/16,linf@30,86.8
caltech101,Gemini Flash (no think),CLIP B/16,linf@8,92.1
caltech101,Gemini Flash (no think),CLIP H/14,l1@300,92.4
caltech101,Gemini Flash (no think),CLIP H/14,l1@75,93.6
caltech101,Gemini Flash (no think),CLIP H/14,l2@2,92.2
caltech101,Gemini Flash (no think),CLIP H/14,l2@8,89.4
caltech101,Gemini Flash (no think),CLIP H/14,linf@30,81.2
caltech101,Gemini Flash (no think),CLIP H/14,linf@8,91.2
caltech101,Gemini Flash (no think),MetaCLIP H/14,l1@300,92.3
caltech101,Gemini Flash (no think),MetaCLIP H/14,l1@75,93.2
caltech101,Gemini Flash (no think),MetaCLIP H/14,l2@2,92.4
caltech101,Gemini Flash (no think),MetaCLIP H/14,l2@8,91.1
caltech101,Gemini Flash (no think),MetaCLIP H/14,linf@30,86.4
caltech101,Gemini Flash (no think),MetaCLIP H/14,linf@8,93.0
caltech101,Gemini Flash (no think),SigLIP2 NaFlex,linf@30,92.8
caltech101,Gemini Flash (no think),SigLIP2 SO400M,linf@30,71.9
caltech101,Gemini Flash (no think),SigLIP2 base,linf@30,87.2
caltech101,Gemini Flash (no think),SigLIP2 base,linf@8,93.1
caltech101,Gemini Flash (no think),n/a (clean),clean,93.0
caltech101,Gemini Flash (no think),n/a (common),sev@3,90.3
fgvc-aircraft-2013b,GPT-4o,CLIP B/16,l1@300,44.3
fgvc-aircraft-2013b,GPT-4o,CLIP B/16,l1@75,44.2
fgvc-aircraft-2013b,GPT-4o,CLIP B/16,l2@2,44.9
fgvc-aircraft-2013b,GPT-4o,CLIP B/16,l2@8,39.8
fgvc-aircraft-2013b,GPT-4o,CLIP B/16,linf@30,38.2
fgvc-aircraft-2013b,GPT-4o,CLIP B/16,linf@8,43.5
fgvc-aircraft-2013b,GPT-4o,CLIP H/14,l1@300,42.7
fgvc-aircraft-2013b,GPT-4o,CLIP H/14,l1@75,45.4
fgvc-aircraft-2013b,GPT-4o,CLIP H/14,l2@2,43.3
fgvc-aircraft-2013b,GPT-4o,CLIP H/14,l2@8,38.72
fgvc-aircraft-2013b,GPT-4o,CLIP H/14,linf@30,28.8
fgvc-aircraft-2013b,GPT-4o,CLIP H/14,linf@8,41.1
fgvc-aircraft-2013b,GPT-4o,MetaCLIP H/14,l1@300,43.3
fgvc-aircraft-2013b,GPT-4o,MetaCLIP H/14,l1@75,44.3
fgvc-aircraft-2013b,GPT-4o,MetaCLIP H/14,l2@2,44.3
fgvc-aircraft-2013b,GPT-4o,MetaCLIP H/14,l2@8,40.8
fgvc-aircraft-2013b,GPT-4o,MetaCLIP H/14,linf@30,29.2
fgvc-aircraft-2013b,GPT-4o,MetaCLIP H/14,linf@8,41.7
fgvc-aircraft-2013b,GPT-4o,SigLIP2 base,linf@30,41.2
fgvc-aircraft-2013b,GPT-4o,SigLIP2 base,linf@8,44.4
fgvc-aircraft-2013b,GPT-4o,n/a (clean),clean,45.8
fgvc-aircraft-2013b,GPT-4o,n/a (common),sev@3,27.3
fgvc-aircraft-2013b,Gemini Flash (no think),CLIP B/16,l1@300,79.6
fgvc-aircraft-2013b,Gemini Flash (no think),CLIP B/16,l1@75,80.2
fgvc-aircraft-2013b,Gemini Flash (no think),CLIP B/16,l2@2,79.8
fgvc-aircraft-2013b,Gemini Flash (no think),CLIP B/16,l2@8,78.4
